lemma,frequency,pos,example_tokens
submit,65,NOUN,"submits, submitted, submitting, submit"
facility,64,NOUN,"facilities, facility"
grounds,64,NOUN,grounds
commissioner,64,NOUN,"commissioner, commissioners, Commissioner, Commissioners"
approve,63,VERB,"approve, approved, approves, approving"
perform,63,VERB,"perform, performing, performs, performed"
delegate,62,VERB,"delegate, delegated, delegates"
form,61,NOUN,"form, forms, formed"
requirement,61,NOUN,"requirement, requirements"
park,61,NOUN,"park, parks"
range,61,PROPN,"Range, range"
enforcement,60,NOUN,enforcement
warrant,60,NOUN,warrant
Chief,60,PROPN,Chief
community,59,NOUN,"communities, community, Community"
change,59,NOUN,"changes, change, changing, changed"
consent,58,NOUN,"consent, consents"
office,58,NOUN,"office, offices"
road,58,NOUN,"roads, road"
circumstance,57,NOUN,"circumstances, circumstance"
regulator,57,NOUN,regulator
reserve,56,NOUN,"reserve, Reserve, reserving, reserves, reserved"
debt,56,NOUN,"debt, debts"
state,56,VERB,"stated, state, states, State"
Officer,56,NOUN,Officer
offer,56,VERB,"offer, offers, offered, offering"
dispose,55,VERB,"dispose, disposed, disposing"
damage,55,NOUN,"damage, damages, damaged"
seize,55,VERB,"seized, seize, seizes"
reference,54,NOUN,"reference, references, referenced"
administration,54,NOUN,"Administration, administration"
security,54,NOUN,"security, securities"
proceedings,54,NOUN,proceedings
service,53,NOUN,"services, service, Service"
company,53,NOUN,"company, companies"
charge,52,NOUN,"charge, charged, charges"
guardian,52,NOUN,"guardians, guardian"
hold,51,VERB,"hold, holds, held, holding"
railway,51,NOUN,"railway, Railway, railways"
class,49,NOUN,"class, classes, Class"
representative,49,NOUN,"representatives, representative"
district,49,NOUN,"district, districts"
Columbia,48,PROPN,Columbia
fee,48,NOUN,"fee, fees"
cancel,48,VERB,"cancelled, cancel, cancels, cancelling"
risk,48,NOUN,"risk, risks"
portion,48,NOUN,"portion, portions"
site,48,NOUN,"site, sites"
oil,48,NOUN,oil
comply,46,VERB,"comply, complies, complied, complying"
employee,46,NOUN,"employees, employee, Employees"
behalf,46,NOUN,behalf
record,45,NOUN,"records, recorded, record, recording"
schedule,45,NOUN,"Schedule, schedule, schedules, scheduled"
conduct,45,VERB,"conduct, conducts, conducting, conducted, Conduct"
shall,45,NOUN,shall
direction,45,NOUN,"direction, directions"
timber,45,NOUN,timber
consultation,44,NOUN,"consultation, consultations"
fail,44,VERB,"fails, failed, fail, Failing, failing"
force,44,NOUN,"force, forces"
pollution,44,PROPN,"Pollution, pollution"
expense,44,NOUN,"expenses, expense"
notify,44,VERB,"notify, notified, notifying"
department,44,PROPN,"Department, department, departments"
British,43,PROPN,British
constitute,43,VERB,"constitute, constitutes, constituted"
incur,43,NOUN,"incurs, incurred, incur"
lands,42,NOUN,lands
agree,42,VERB,"agreed, agrees, agree"
emergency,41,NOUN,"emergency, emergencies"
date,41,NOUN,"dates, dated, date, Date"
Agency,41,PROPN,Agency
fishing,41,NOUN,"fishing, Fishing"
protect,41,VERB,"protect, protected, protecting, Protected, Protecting"
release,41,NOUN,"release, releases, released"
remove,40,VERB,"remove, removing, removed"
add,40,VERB,"adding, add, added, adds"
obtain,40,VERB,"obtaining, obtain, obtained, obtains"
Crown,40,PROPN,Crown
money,40,NOUN,"money, Money"
title,39,NOUN,"Title, title, titles"
maintain,39,VERB,"maintain, maintained, maintaining, maintains"
publish,39,VERB,"published, publish, publishes, publishing"
municipality,38,NOUN,"municipality, Municipality, municipalities"
treaty,37,PROPN,"Treaty, treaty"
write,37,VERB,"written, writing"
line,37,NOUN,"line, lines"
extent,37,NOUN,extent
compensation,37,NOUN,"compensation, Compensation"
bring,37,VERB,"brought, bring"
Regulator,37,PROPN,Regulator
account,37,NOUN,"account, accounts"
boundary,37,NOUN,"boundaries, boundary"
goods,37,NOUN,goods
rights,37,NOUN,"rights, Rights"
