lemma,frequency,pos,example_tokens
constable,8,NOUN,constable
resident,7,NOUN,"resident, residents"
region,7,NOUN,"region, regions, Region"
cover,7,VERB,"covered, covering"
type,7,NOUN,"type, types"
official,7,NOUN,"official, officials"
completion,7,VERB,completion
spread,7,VERB,"spread, spreading"
net,7,NOUN,"net, nets"
Protection,7,PROPN,Protection
shipping,7,PROPN,"Shipping, shipping"
restoration,7,NOUN,restoration
town,7,NOUN,"Town, town"
wilderness,7,NOUN,wilderness
hunt,7,NOUN,"hunting, hunt"
confirm,7,VERB,"confirmed, confirm, confirming"
Assessment,7,PROPN,Assessment
issuance,7,NOUN,issuance
incurr,7,VERB,"incurring, incurred"
end,7,VERB,"ends, end"
assistance,7,NOUN,assistance
need,7,NOUN,"need, needed, needs"
master,7,NOUN,master
route,7,NOUN,route
fe,7,NOUN,"fees, Fees"
share,7,NOUN,"share, sharing"
dwelling,7,NOUN,dwelling
prescrib,7,VERB,prescribing
replacement,7,NOUN,replacement
dismiss,7,VERB,"dismiss, dismissed"
create,7,VERB,"creating, creates, created"
lead,7,VERB,"lead, Lead"
comment,7,NOUN,"comments, comment"
food,7,NOUN,"food, Food"
satisfy,7,VERB,satisfied
constitut,7,VERB,"constituting, constituted"
decommissioning,7,NOUN,decommissioning
verify,7,VERB,"verifying, verify"
drinking,7,VERB,drinking
extension,7,NOUN,extension
storage,7,NOUN,storage
reclamation,7,NOUN,reclamation
variance,7,NOUN,"variance, variances"
transportation,7,NOUN,"transportation, Transportation"
point,7,NOUN,"point, points"
gear,7,NOUN,gear
website,7,NOUN,website
component,7,NOUN,"component, components"
Harvest,7,PROPN,Harvest
discipline,7,NOUN,discipline
mediate,7,VERB,mediate
Province,6,PROPN,Province
examination,6,NOUN,examination
disease,6,NOUN,"disease, diseases"
roll,6,NOUN,"rolls, roll, rolling"
close,6,VERB,"closed, close"
consist,6,VERB,consisting
environmental,6,PROPN,Environmental
Waters,6,PROPN,Waters
examine,6,VERB,"examine, examined"
Marine,6,PROPN,Marine
situate,6,VERB,situated
priority,6,NOUN,priority
accompany,6,VERB,"accompanied, accompanying, accompany"
Notwithstand,6,VERB,Notwithstanding
Mackenzie,6,PROPN,Mackenzie
Valley,6,PROPN,Valley
resources,6,PROPN,Resources
occupation,6,NOUN,occupation
Surveyor,6,PROPN,Surveyor
represent,6,VERB,"represented, represent, representing"
internet,6,NOUN,Internet
delegation,6,NOUN,delegation
affair,6,NOUN,Affairs
suspension,6,NOUN,suspension
pertain,6,VERB,"pertaining, pertains, pertain"
favour,6,NOUN,favour
accident,6,NOUN,"accident, Accident"
death,6,NOUN,death
straddling,6,NOUN,straddling
render,6,VERB,"render, rendered"
port,6,NOUN,"port, ports"
mortgage,6,NOUN,mortgage
rem,6,NOUN,rem
position,6,NOUN,position
compose,6,VERB,"composed, composing"
investigate,6,VERB,"investigate, investigated, investigating"
begin,6,VERB,"begin, begins, beginning"
data,6,NOUN,data
suit,6,NOUN,"suits, suit"
would,6,VERB,d
lake,6,NOUN,lake
mineral,6,NOUN,"minerals, mineral, Mineral"
apparatus,6,NOUN,apparatus
January,6,PROPN,January
learn,6,VERB,learns
manufacture,6,VERB,"manufactured, manufacture"
suspect,6,VERB,suspect
prohibition,6,NOUN,"prohibition, prohibitions"
alter,6,NOUN,alter
engine,6,NOUN,"engine, engines"
air,6,NOUN,air
recovere,6,VERB,"recovered, recovering"
disclosure,6,NOUN,disclosure
realize,6,VERB,realized
State,6,PROPN,State
method,6,NOUN,"methods, method"
one,6,NOUN,"ones, one"
elector,6,NOUN,"electors, elector"
delivery,6,NOUN,delivery
off,6,NOUN,off
directive,6,NOUN,"directives, directive"
Treasury,6,PROPN,Treasury
immunity,6,NOUN,"immunities, immunity"
penalties,6,NOUN,"penalties, Penalties"
kind,6,NOUN,"kind, kinds"
police,6,NOUN,police
rent,6,NOUN,"rent, rented"
occupy,6,VERB,"occupying, occupy, occupied"
building,6,NOUN,"building, buildings"
designated,6,VERB,"designated, Designated"
nuclear,6,PROPN,Nuclear
interim,6,NOUN,interim
high,6,PROPN,High
grazing,6,NOUN,grazing
education,6,NOUN,education
derivative,6,NOUN,derivatives
track,6,NOUN,tracks
car,6,NOUN,"cars, car"
Nation,6,PROPN,Nation
clause,6,NOUN,"Clause, clause, clauses"
bailiff,6,NOUN,"bailiffs, bailiff"
precedence,6,NOUN,precedence
soil,5,NOUN,soil
fill,5,NOUN,"fill, filled"
covenant,5,NOUN,"covenant, covenants"
subdivision,5,NOUN,subdivision
cancellation,5,NOUN,cancellation
contravene,5,VERB,"contravene, contravenes"
fact,5,NOUN,"fact, facts"
powers,5,NOUN,powers
zones,5,NOUN,zones
comprise,5,VERB,"comprised, comprising"
absent,5,VERB,"absent, Absent"
expect,5,VERB,"expects, expected"
expire,5,VERB,"expires, expired"
determining,5,VERB,determining
inventory,5,NOUN,"inventory, inventories"
enlarge,5,VERB,"enlarging, enlarge"
monitoring,5,NOUN,monitoring
Prevention,5,PROPN,Prevention
entitled,5,VERB,entitled
arrest,5,NOUN,arrest
Queen,5,PROPN,Queen
preservation,5,NOUN,preservation
Advisory,5,PROPN,Advisory
nááts’,5,NOUN,Nááts’
ihch,5,NOUN,ihch
say,5,VERB,said
C,5,NOUN,C
Impact,5,PROPN,Impact
capacity,5,NOUN,capacity
Safety,5,PROPN,Safety
rank,5,NOUN,rank
spacing,5,NOUN,spacing
royalty,5,NOUN,royalty
support,5,VERB,"supporting, support, supports"
protocol,5,NOUN,protocol
g,5,NOUN,g
mortgagee,5,NOUN,mortgagee
harbour,5,NOUN,"harbours, harbour"
communication,5,NOUN,"communications, communication"
compensate,5,VERB,"compensated, compensate"
respond,5,VERB,"respond, responded"
summary,5,NOUN,summary
expiration,5,NOUN,expiration
public,5,NOUN,public
injunction,5,NOUN,injunction
methods,5,NOUN,methods
1984,5,PROPN,1984
legislation,5,NOUN,legislation
sampling,5,NOUN,"sampling, samplings"
Control,5,PROPN,Control
lack,5,VERB,lack
placement,5,NOUN,placement
secure,5,VERB,"secure, secured"
violation,5,NOUN,violation
receiver,5,PROPN,"Receiver, receiver"
dike,5,NOUN,"dike, dikes"
fulfil,5,VERB,"fulfilling, fulfilled"
parcel,5,NOUN,"parcel, parcels"
survey,5,NOUN,"surveys, survey"
borrowed,5,VERB,borrowed
debenture,5,NOUN,"debenture, debentures"
supplier,5,NOUN,supplier
occupier,5,NOUN,occupier
branch,5,NOUN,"branch, Branch"
certify,5,NOUN,"certifying, certifies, certified"
maximum,5,NOUN,"maximums, maximum"
well,5,NOUN,"well, wells"
sewage,5,NOUN,sewage
introduction,5,NOUN,introduction
enclosure,5,NOUN,enclosure
associate,5,VERB,associated
acquisition,5,NOUN,acquisition
Wildfire,5,PROPN,Wildfire
attach,5,VERB,"attach, attached"
deactivate,5,VERB,"deactivate, deactivated"
substitute,5,VERB,"substitute, substituting"
involve,5,VERB,involving
scope,5,NOUN,scope
county,5,NOUN,"county, counties"
members,5,NOUN,"members, Members"
survival,5,NOUN,survival
Migratory,5,PROPN,Migratory
residence,5,NOUN,residences
commercial,5,PROPN,Commercial
Arbitration,5,PROPN,Arbitration
conservatory,5,NOUN,conservatory
weed,5,NOUN,weeds
intent,4,NOUN,intent
subdivide,4,VERB,"subdivide, subdivided"
exclude,4,VERB,"excluded, excluding"
insurance,4,NOUN,insurance
Registrar,4,NOUN,Registrar
inquire,4,VERB,inquire
matters,4,NOUN,matters
transmit,4,VERB,"transmitted, transmit, transmits"
formula,4,NOUN,"formulas, formula"
union,4,NOUN,"Union, union"
merit,4,NOUN,merit
Taxation,4,NOUN,Taxation
April,4,PROPN,April
raising,4,NOUN,raising
ownership,4,NOUN,ownership
settle,4,VERB,"settled, settle"
progress,4,NOUN,progress
formulation,4,NOUN,formulation
Arctic,4,PROPN,Arctic
meaning,4,NOUN,meaning
Notwithstanding,4,NOUN,Notwithstanding
Banff,4,PROPN,Banff
Haida,4,PROPN,Haida
assignment,4,NOUN,assignment
adaptation,4,NOUN,adaptations
Petroleum,4,PROPN,Petroleum
store,4,VERB,"store, stored"
mark,4,VERB,"marked, mark, marks"
annex,4,NOUN,Annex
abandonment,4,NOUN,abandonment
sanction,4,NOUN,"sanction, sanctioned"
commencement,4,NOUN,commencement
continuation,4,NOUN,continuation
afford,4,VERB,afford
scale,4,NOUN,scale
shelf,4,NOUN,shelf
start,4,VERB,"start, started, starting"
field,4,NOUN,field
select,4,VERB,"select, selected"
modify,4,VERB,"modify, modifying"
calculate,4,VERB,"calculate, calculating, calculated"
harmonize,4,VERB,harmonizing
expensis,4,NOUN,expenses
boat,4,NOUN,boat
competency,4,NOUN,competency
promote,4,VERB,"promoting, promote, promotes"
Coast,4,PROPN,Coast
casualty,4,NOUN,casualty
effort,4,NOUN,efforts
preserve,4,VERB,"preserve, preserving, preserved"
treatment,4,NOUN,"treatment, treatments"
distribute,4,VERB,"distribute, distributed"
conclude,4,VERB,"conclude, concludes"
Appeal,4,PROPN,Appeal
regulated,4,VERB,regulated
reimburse,4,VERB,"reimburse, reimbursed"
reasons,4,NOUN,reasons
duplication,4,NOUN,duplication
bed,4,NOUN,"bed, beds"
correct,4,VERB,correct
suffer,4,VERB,"suffers, suffer, suffered"
monitor,4,NOUN,"monitoring, monitored, monitor"
Health,4,PROPN,Health
group,4,NOUN,group
instrument,4,NOUN,instrument
functioning,4,NOUN,functioning
manufacturer,4,NOUN,manufacturer
source,4,NOUN,source
course,4,NOUN,"courses, course"
refrain,4,VERB,refrain
possess,4,NOUN,"possess, possessed"
explicit,4,NOUN,explicit
confidentiality,4,NOUN,confidentiality
nature,4,NOUN,nature
rebuilding,4,NOUN,rebuilding
a,4,NOUN,"a, A"
bank,4,NOUN,bank
punishment,4,NOUN,punishment
absence,4,NOUN,absence
seal,4,PROPN,"Seal, seals, seal"
diking,4,NOUN,diking
clerk,4,NOUN,clerk
acting,4,VERB,acting
levy,4,VERB,"levied, levy"
ves,4,VERB,vested
bind,4,VERB,binding
cross,4,VERB,"crossed, crosses"
majority,4,NOUN,majority
enforce,4,VERB,"enforce, enforcing"
sum,4,NOUN,sum
situation,4,NOUN,situation
default,4,NOUN,default
owed,4,VERB,owed
omit,4,VERB,omitted
participating,4,VERB,participating
claimant,4,NOUN,claimant
accord,4,VERB,"according, accorded"
tribunal,4,NOUN,tribunal
consensus,4,NOUN,consensus
nations,4,NOUN,nations
deadline,4,NOUN,deadline
chapter,4,NOUN,"chapter, Chapter"
attempt,4,NOUN,attempt
allocation,4,NOUN,"allocation, Allocation, allocations"
motor,4,NOUN,motor
decline,4,VERB,"declined, decline"
pound,4,NOUN,pound
catch,4,VERB,"caught, catch"
season,4,NOUN,season
device,4,NOUN,"devices, device"
disruption,4,NOUN,disruption
coast,4,NOUN,coast
detention,4,NOUN,detention
ticket,4,NOUN,ticket
coordinate,4,VERB,"coordinate, coordinated"
send,4,NOUN,"sending, send"
enjoy,4,VERB,enjoy
privileges,4,NOUN,privileges
surrender,4,NOUN,surrender
assign,4,VERB,"assign, assigns, assigned"
petition,4,NOUN,petition
hay,4,VERB,hay
watershed,4,NOUN,"watersheds, watershed"
signature,4,NOUN,signature
number,4,NOUN,number
roster,4,NOUN,roster
j,4,PROPN,"j, J"
difference,4,NOUN,difference
stipulation,4,NOUN,"stipulations, stipulation"
criterion,4,NOUN,criteria
Ministry,4,PROPN,Ministry
permittee,4,NOUN,permittee
residue,4,NOUN,residue
Governance,4,PROPN,Governance
deviation,4,NOUN,deviation
advantage,4,NOUN,"advantage, advantages"
status,4,NOUN,status
sanctuary,4,NOUN,sanctuary
divert,4,VERB,"divert, diverted"
licensee,4,NOUN,licensee
alien,4,NOUN,alien
guide,4,NOUN,guide
note,3,NOUN,"note, notes"
minimize,3,VERB,"minimize, minimizes, minimizing"
deeme,3,VERB,"deeming, deemed"
taxation,3,NOUN,taxation
School,3,PROPN,School
replace,3,VERB,replace
requisition,3,VERB,"requisitioning, requisition"
vacancy,3,PROPN,"Vacancy, vacancy"
Police,3,PROPN,Police
hospital,3,NOUN,"hospital, Hospital"
distribution,3,NOUN,distribution
submerge,3,VERB,submerged
coastal,3,NOUN,coastal
zoning,3,NOUN,zoning
Contraventions,3,PROPN,Contraventions
pend,3,VERB,pending
outcome,3,NOUN,"outcome, outcomes"
integrity,3,NOUN,integrity
Jasper,3,PROPN,Jasper
participation,3,NOUN,participation
harvesting,3,VERB,harvesting
offshore,3,PROPN,Offshore
easement,3,NOUN,"easements, easement"
’oh,3,NOUN,’oh
May,3,PROPN,May
Islands,3,PROPN,Islands
design,3,NOUN,"design, designed"
rise,3,NOUN,rise
borne,3,VERB,borne
exploration,3,NOUN,exploration
surrogate,3,NOUN,surrogate
debris,3,NOUN,debris
dril,3,NOUN,drilling
up,3,NOUN,up
selection,3,NOUN,selection
submissions,3,NOUN,submissions
variation,3,NOUN,"variations, variation"
hour,3,NOUN,hours
conviction,3,NOUN,conviction
en,3,VERB,en
by,3,NOUN,by
discover,3,VERB,"discovers, discovering"
pollutant,3,NOUN,pollutant
belong,3,VERB,"belongs, belonging, belong"
identity,3,NOUN,identity
object,3,NOUN,"objects, object"
week,3,NOUN,"week, weeks"
criteria,3,NOUN,criteria
estimate,3,NOUN,"estimates, estimated"
arrange,3,VERB,arrange
governance,3,NOUN,governance
levie,3,NOUN,levies
die,3,NOUN,dies
beach,3,NOUN,beach
obstruct,3,VERB,obstruct
working,3,NOUN,working
ascertain,3,VERB,"ascertain, ascertained"
injure,3,VERB,"injure, injured"
negotiation,3,NOUN,"negotiation, negotiations"
exposure,3,NOUN,exposure
interpret,3,VERB,"interpreting, interpreted"
combination,3,NOUN,combination
satisfie,3,VERB,satisfied
alternative,3,NOUN,"alternatives, alternative"
human,3,NOUN,humans
incinerate,3,VERB,incinerate
particular,3,NOUN,particulars
preparedness,3,NOUN,"preparedness, Preparedness"
notification,3,NOUN,notification
accommodation,3,NOUN,"accommodation, Accommodation"
competence,3,NOUN,competence
objection,3,NOUN,"objection, objections"
present,3,VERB,"presenting, presented, presents"
rebuild,3,NOUN,"rebuilding, rebuild"
existence,3,NOUN,existence
dismantle,3,NOUN,dismantle
potential,3,NOUN,potential
rivers,3,NOUN,rivers
Regulatory,3,PROPN,Regulatory
Services,3,NOUN,Services
Great,3,PROPN,Great
preside,3,VERB,"preside, presides"
head,3,NOUN,head
Administration,3,PROPN,Administration
empower,3,VERB,"empower, empowered"
flood,3,VERB,"flooded, flood"
raise,3,VERB,"raise, raised"
collector,3,NOUN,collector
lessee,3,NOUN,"lessee, lessees"
think,3,VERB,thinks
secretary,3,NOUN,"secretary, secretaries"
assent,3,NOUN,assent
contemplate,3,VERB,contemplated
statutory,3,NOUN,statutory
calendar,3,NOUN,calendar
reservoir,3,NOUN,reservoir
petroleum,3,NOUN,petroleum
reflect,3,VERB,reflect
consultant,3,NOUN,consultants
content,3,NOUN,content
trust,3,PROPN,Trust
consolidate,3,VERB,"consolidated, consolidate"
professional,3,NOUN,"professional, Professional"
lay,3,VERB,"lay, laid"
scheme,3,NOUN,scheme
signal,3,VERB,signalled
driver,3,NOUN,driver
further,3,VERB,"further, furthers"
biology,3,NOUN,biology
quota,3,NOUN,"quotas, quota"
allocate,3,VERB,"allocated, allocate"
lobster,3,NOUN,lobsters
guard,3,NOUN,"guards, guard"
passage,3,NOUN,passage
frequent,3,VERB,frequented
estuary,3,NOUN,estuaries
contribution,3,NOUN,contributions
channel,3,NOUN,"channel, channels"
subdelegate,3,VERB,subdelegate
pulpwood,3,NOUN,pulpwood
written,3,VERB,written
despite,3,NOUN,"despite, Despite"
woodland,3,NOUN,woodland
dedicate,3,VERB,"dedicated, dedicate"
discontinue,3,VERB,"discontinued, discontinue"
govern,3,NOUN,"governing, governed"
proportion,3,NOUN,proportions
insect,3,NOUN,insects
Range,3,PROPN,Range
graze,3,VERB,"grazes, grazing"
funding,3,NOUN,funding
spend,3,VERB,"spent, spend"
directors,3,NOUN,directors
anticipate,3,VERB,"anticipate, anticipated"
conflict,3,NOUN,conflict
experience,3,NOUN,experience
terminate,3,VERB,"terminated, terminate"
Pest,3,NOUN,Pest
session,3,NOUN,"sessions, session"
witness,3,NOUN,witnesses
inhabitant,3,NOUN,inhabitants
River,3,PROPN,River
Ontario,3,PROPN,Ontario
contracting,3,NOUN,Contracting
indemnity,3,NOUN,indemnity
exception,3,NOUN,exceptions
get,3,VERB,"get, getting"
non-compliance,3,NOUN,non-compliance
convey,3,VERB,"conveyed, convey, conveying"
collaboration,3,NOUN,collaboration
recognition,3,PROPN,Recognition
Rouge,3,PROPN,Rouge
urban,3,PROPN,Urban
rely,3,VERB,rely
generality,3,NOUN,generality
prompt,3,VERB,"prompted, prompt"
exit,3,NOUN,exit
successor,3,NOUN,"successor, successors"
profession,3,NOUN,profession
siding,3,NOUN,"siding, sidings"
taking,3,NOUN,taking
delegating,3,NOUN,delegating
extirpated,3,VERB,extirpated
landowner,3,NOUN,landowners
listing,3,NOUN,listing
Tla'amin,3,PROPN,Tla'amin
mediation,3,NOUN,mediation
Forests,3,PROPN,Forests
standardize,3,VERB,standardized
endanger,3,VERB,endanger
discovery,3,NOUN,discovery
Water,3,PROPN,Water
band,3,PROPN,Band
groundwater,3,NOUN,groundwater
user,3,NOUN,users
derive,3,VERB,"derive, derived"
Firearm,3,PROPN,Firearm
ability,3,NOUN,ability
attract,3,VERB,"attracted, attracting, attract"
attractant,3,NOUN,attractant
inclusion,2,NOUN,inclusion
read,2,VERB,read
forward,2,VERB,"forwards, forward"
titles,2,NOUN,Titles
surveillance,2,NOUN,surveillance
municipalities,2,PROPN,Municipalities
school,2,PROPN,"School, school"
Finance,2,PROPN,Finance
transmission,2,NOUN,transmission
electricity,2,NOUN,electricity
directeur,2,NOUN,directeur
island,2,NOUN,islands
laid,2,VERB,laid
vision,2,NOUN,vision
awareness,2,NOUN,awareness
subscribe,2,VERB,subscribe
zon,2,NOUN,zoning
visitor,2,NOUN,visitor
column,2,NOUN,"columns, column"
hunting,2,NOUN,hunting
Band,2,PROPN,Band
Gwaii,2,PROPN,Gwaii
Haanas,2,PROPN,Haanas
Constitution,2,PROPN,Constitution
expansion,2,NOUN,expansion
canada–,2,NOUN,Canada–
Nova,2,PROPN,Nova
Scotia,2,PROPN,Scotia
Thaidene,2,PROPN,Thaidene
Nene,2,PROPN,Nene
fuel,2,NOUN,fuel
aforesaid,2,NOUN,aforesaid
March,2,PROPN,March
Memorandum,2,PROPN,Memorandum
authorizations,2,NOUN,authorizations
chairman,2,NOUN,chairman
re-appoint,2,VERB,re-appointed
specialized,2,VERB,specialized
decrease,2,NOUN,"decrease, decreasing"
aggrieve,2,VERB,aggrieved
operators,2,NOUN,operators
escape,2,NOUN,escape
incident,2,NOUN,incident
theretoo,2,NOUN,thereto
exploit,2,VERB,exploited
redetermination,2,NOUN,redetermination
documentation,2,NOUN,documentation
safey,2,NOUN,safety
prosecutor,2,NOUN,prosecutor
tonnage,2,NOUN,tonnage
expertise,2,NOUN,expertise
machinery,2,NOUN,machinery
financing,2,NOUN,financing
bare,2,NOUN,bare
lien,2,NOUN,lien
lieu,2,NOUN,lieu
load,2,VERB,loading
unload,2,VERB,unloading
VTS,2,PROPN,VTS
Zone,2,PROPN,Zone
run,2,VERB,"runs, run"
aid,2,NOUN,aid
Guard,2,PROPN,Guard
inquiries,2,PROPN,Inquiries
finding,2,NOUN,findings
contribute,2,VERB,"contributing, contributed"
stevedoring,2,NOUN,stevedoring
fault,2,NOUN,fault
update,2,VERB,update
collection,2,NOUN,collection
enhance,2,VERB,enhance
view,2,NOUN,views
express,2,VERB,expressed
newspaper,2,NOUN,newspaper
cite,2,VERB,cited
membership,2,NOUN,membership
rata,2,NOUN,rata
guilty,2,NOUN,guilty
Navigable,2,PROPN,Navigable
adit,2,NOUN,adit
opening,2,NOUN,opening
m,2,NOUN,m
prospecting,2,VERB,prospecting
distance,2,NOUN,distance
framework,2,NOUN,framework
abatement,2,NOUN,abatement
mandate,2,NOUN,mandate
improve,2,VERB,"improving, improve"
appropriate,2,VERB,appropriate
commerce,2,NOUN,commerce
metal,2,NOUN,metal
assessing,2,VERB,assessing
compile,2,VERB,compile
population,2,NOUN,population
eliminate,2,VERB,"eliminates, eliminate"
Export,2,PROPN,Export
nutrient,2,NOUN,"nutrients, nutrient"
pilot,2,NOUN,pilot
command,2,NOUN,command
recycl,2,NOUN,recycling
exporter,2,NOUN,"exporter, exporters"
emergencies,2,NOUN,emergencies
aboriginal,2,VERB,aboriginal
execution,2,NOUN,execution
prosecution,2,NOUN,prosecution
representation,2,NOUN,representations
gravel,2,NOUN,gravel
NAFO,2,PROPN,NAFO
credit,2,NOUN,credit
Port,2,PROPN,Port
proof,2,NOUN,proof
authorizing,2,NOUN,authorizing
elevation,2,NOUN,elevation
pre-emption,2,NOUN,pre-emption
vote,2,VERB,"voted, vote"
legislature,2,PROPN,Legislature
benefite,2,VERB,benefited
deposite,2,VERB,"deposited, depositing"
revision,2,NOUN,Revision
ground,2,NOUN,ground
bridge,2,NOUN,bridge
lender,2,NOUN,lenders
assignee,2,NOUN,assignees
vest,2,NOUN,"vest, vested"
neglect,2,VERB,"neglect, neglects"
drainage,2,NOUN,drainage
appointor,2,NOUN,appointor
attorney,2,NOUN,attorney
borrow,2,NOUN,borrow
sums,2,NOUN,sums
issuing,2,NOUN,issuing
testing,2,NOUN,testing
aggregate,2,NOUN,aggregate
legislative,2,PROPN,Legislative
Assembly,2,PROPN,Assembly
leadership,2,NOUN,leadership
detail,2,NOUN,details
adjuster,2,NOUN,adjuster
repay,2,VERB,repay
peoples,2,NOUN,peoples
allowances,2,NOUN,allowances
travelling,2,NOUN,travelling
pocket,2,NOUN,pocket
effectiveness,2,NOUN,effectiveness
rescind,2,VERB,rescind
introduce,2,NOUN,introduces
faith,2,NOUN,faith
letter,2,NOUN,letters
patent,2,NOUN,patent
contaminant,2,NOUN,contaminants
contamination,2,NOUN,contamination
abrogate,2,VERB,abrogates
extinguish,2,VERB,extinguish
remediate,2,VERB,"remediated, remediate"
apportionment,2,NOUN,apportionment
q,2,NOUN,q
lessen,2,VERB,"lessen, lessening"
drive,2,VERB,"drive, driving"
Fund,2,PROPN,Fund
transition,2,NOUN,transition
odour,2,NOUN,odour
noise,2,NOUN,noise
licensing,2,NOUN,licensing
sentenc,2,VERB,sentencing
restitution,2,NOUN,restitution
screen,2,NOUN,"screens, screen"
netting,2,NOUN,netting
cetacean,2,NOUN,cetacean
log,2,NOUN,log
rock,2,NOUN,rock
meal,2,NOUN,meal
manure,2,NOUN,manure
specification,2,NOUN,specifications
degree,2,NOUN,"degrees, degree"
negligence,2,NOUN,negligence
income,2,NOUN,income
dwell,2,VERB,dwelling
station,2,NOUN,"stations, station"
oyster,2,NOUN,oysters
notwithstand,2,NOUN,notwithstanding
allege,2,VERB,alleged
university,2,NOUN,university
good,2,NOUN,goods
Royal,2,PROPN,Royal
Mounted,2,PROPN,Mounted
immunitie,2,NOUN,immunities
advertising,2,NOUN,advertising
transaction,2,NOUN,transaction
fram,2,NOUN,farm
volume,2,NOUN,volume
utility,2,NOUN,utility
scaling,2,NOUN,scaling
cruise,2,NOUN,cruise
producer,2,NOUN,"producers, producer"
broadcast,2,VERB,broadcast
stating,2,VERB,stating
market,2,NOUN,market
database,2,NOUN,"database, Database"
deactivation,2,NOUN,deactivation
target,2,NOUN,targets
livestock,2,NOUN,livestock
restricting,2,VERB,restricting
rehabilitate,2,VERB,rehabilitate
stage,2,NOUN,stage
wildland,2,NOUN,wildland
Chairperson,2,PROPN,Chairperson
engineers,2,NOUN,engineers
guarantee,2,VERB,guarantee
generate,2,VERB,generates
amalgamation,2,NOUN,amalgamation
foster,2,VERB,"fosters, foster"
anticipat,2,VERB,anticipated
assessament,2,NOUN,assessment
Environmental,2,PROPN,Environmental
vice-,2,NOUN,Vice-
president,2,NOUN,president
belief,2,VERB,believes
compel,2,VERB,compel
attendance,2,NOUN,attendance
Kingdom,2,PROPN,Kingdom
Britain,2,PROPN,Britain
frontier,2,NOUN,frontier
adjustment,2,NOUN,adjustment
plenipotentiary,2,NOUN,plenipotentiaries
interference,2,NOUN,interference
Niagara,2,PROPN,Niagara
passing,2,NOUN,passing
dam,2,NOUN,"dams, dam"
divided,2,VERB,divided
organize,2,VERB,"organize, organized"
Washington,2,PROPN,Washington
jous,2,NOUN,joi
solemn,2,NOUN,solemn
construe,2,VERB,construed
St.,2,PROPN,St.
Mary,2,PROPN,Mary
canal,2,NOUN,"canals, canal"
prejudice,2,NOUN,"prejudice, prejudiced"
simple,2,NOUN,simple
withdraw,2,VERB,"withdraw, withdrawn"
ha,2,NOUN,ha
airport,2,NOUN,airport
Crow,2,VERB,Crown
perpetuity,2,NOUN,perpetuity
south,2,PROPN,South
housing,2,PROPN,"Housing, housing"
co-chair,2,NOUN,co-chair
non-live,2,NOUN,non-living
agencie,2,NOUN,agencies
affec,2,VERB,affected
estuarine,2,NOUN,estuarine
expenditure,2,NOUN,"expenditures, expenditure"
conveyance,2,NOUN,conveyance
trade,2,NOUN,"trade, Trade"
Management,2,PROPN,Management
trail,2,NOUN,trail
path,2,NOUN,path
waterway,2,NOUN,waterway
ranger,2,NOUN,rangers
significance,2,NOUN,significance
Capital,2,PROPN,Capital
elapse,2,VERB,elapsed
expand,2,VERB,expand
Products,2,PROPN,Products
consiste,2,VERB,consisting
reverse,2,VERB,"reverse, reversed"
Agriculture,2,NOUN,Agriculture
Agri-,2,NOUN,Agri-
Monetary,2,PROPN,Monetary
election,2,NOUN,election
admit,2,VERB,"admit, admitted"
Professional,2,PROPN,Professional
Credentials,2,PROPN,Credentials
credential,2,NOUN,credentials
practise,2,VERB,practise
citation,2,NOUN,citation
seem,2,VERB,"seem, seems"
want,2,VERB,wanted
precedent,2,NOUN,precedent
award,2,NOUN,award
intersection,2,NOUN,intersection
crossing,2,NOUN,crossing
city,2,NOUN,city
village,2,NOUN,village
rail,2,NOUN,rail
minute,2,NOUN,minutes
passengers,2,NOUN,passengers
locomotive,2,NOUN,"locomotives, locomotive"
join,2,NOUN,joins
mail,2,NOUN,"mails, mail"
Cosewic,2,NOUN,COSEWIC
conserve,2,VERB,"conserving, conserve"
Subsection,2,NOUN,Subsection
step,2,NOUN,steps
Appendix,2,PROPN,Appendix
mechanism,2,NOUN,"mechanisms, mechanism"
affection,2,NOUN,affection
compromise,2,VERB,compromise
Legislation,2,NOUN,Legislation
institutions,2,PROPN,Institutions
british,2,PROPN,British
subclause,2,NOUN,subclause
1.d,2,NOUN,1.d
Intertidal,2,PROPN,Intertidal
Bivalve,2,PROPN,Bivalve
Fishe,2,PROPN,Fishing
Law,2,NOUN,Law
parking,2,NOUN,parking
supervision,2,NOUN,supervision
Bcicac,2,NOUN,BCICAC
qualifying,2,VERB,qualifying
threshold,2,NOUN,"threshold, thresholds"
guiding,2,VERB,guiding
angling,2,VERB,angling
endorsement,2,NOUN,"endorsements, endorsement"
kill,2,VERB,"kill, killed"
alcohol,2,NOUN,alcohol
drug,2,NOUN,drug
trapping,2,NOUN,trapping
game,2,NOUN,game
Secretary,2,NOUN,Secretary
Party,2,NOUN,"Party, Parties"
states,2,PROPN,States
Consolidated,2,VERB,Consolidated
Revenue,2,NOUN,Revenue
Remediation,2,NOUN,Remediation
non,1,NOUN,non
-binding,1,VERB,-binding
Treaty,1,PROPN,Treaty
within,1,VERB,within
conducts,1,NOUN,conducts
waive,1,VERB,waive
hardship,1,NOUN,hardship
consistency,1,NOUN,consistency
manual,1,NOUN,manuals
calculation,1,NOUN,calculation
incapacitate,1,VERB,incapacitated
Speculation,1,NOUN,Speculation
valuation,1,NOUN,valuation
refund,1,NOUN,refund
boards,1,NOUN,boards
requisitioning,1,NOUN,requisitioning
