"act_name","jurisdiction","Section","Heading","implement_type","responsible_official","discretion_type","Paragraph"
"Drinking Water Protection Act","Provincial","4.2","Reports respecting problems related to Provincial government          actions","report","minister; officer","mandatory","4.2  (1) The Provincial health officer must report to the minister on any situation            that"
"Drinking Water Protection Act","Provincial","4.2","Reports respecting problems related to Provincial government          actions","report","minister; council; officer","mandatory","(2) If the Provincial health officer makes a report under subsection              (1) and the situation cannot be resolved to the satisfaction of the            Provincial health officer, the minister must bring the situation to the attention of the            Executive Council."
"Drinking Water Protection Act","Provincial","8","Operating permits and requirements for water supply          systems","permit","authority","discretionary","(3) As examples, but without limiting the authority under this section, terms and            conditions respecting the following may be included in an operating permit:"
"Drinking Water Protection Act","Provincial","8","Operating permits and requirements for water supply          systems","permit","officer","mandatory; discretionary","(4) The drinking water officer or an issuing official may change the terms and            conditions of an operating permit if the officer or issuing official considers this            advisable, but must first consult with the water supplier respecting the proposed            changes and must consider any comments of the water supplier in response."
"Drinking Water Protection Act","Provincial","8","Operating permits and requirements for water supply          systems","order; report","officer","discretionary","the drinking water officer may order the water supplier to undertake additional            monitoring or testing as directed by the officer, and to report the results and make            them public as directed by the officer."
"Ecological Reserve Act","Provincial","3","Establishing and modifying ecological reserves","order; order_in_council","governor_in_council; council","discretionary","3  (1) The Lieutenant Governor in Council may, by order,"
"Ecological Reserve Act","Provincial","3","Establishing and modifying ecological reserves","order; order_in_council; reserve; establishment","governor_in_council; council","discretionary","(2) The Lieutenant Governor in Council may, by order, add to, cancel in its entirety or delete any portion of an ecological reserve established under subsection (1)."
"Ecological Reserve Act","Provincial","3","Establishing and modifying ecological reserves","order; order_in_council; reserve","governor_in_council; council","discretionary","(4) The Lieutenant Governor in Council may, by order, add to an ecological reserve referenced in Schedule A or B of the Protected Areas of British Columbia Act."
"Ecological Reserve Act","Provincial","4","Publication in Gazette","order; order_in_council; reserve","governor_in_council; council","mandatory","4  An order of the Lieutenant Governor in Council under this Act establishing or modifying an ecological reserve must be published in the Gazette."
"Ecological Reserve Act","Provincial","5.1","Permits for scientific research and educational purposes","regulation; reserve; permit","minister","discretionary","5.1  (1) In accordance with the regulations, the minister may issue a permit to a person authorizing use and occupation of an ecological reserve for ecological scientific research or educational purposes under section 2."
"Ecological Reserve Act","Provincial","5.1","Permits for scientific research and educational purposes","reserve; permit","minister","mandatory","(5) A permit issued under this section must include terms and conditions that the minister considers advisable to protect the ecological reserve and the natural resources in it."
"Ecological Reserve Act","Provincial","5.1","Permits for scientific research and educational purposes","regulation; reserve; permit","minister","discretionary","(6) In accordance with the regulations, the minister may suspend, modify or cancel a permit issued under this section if the minister considers it advisable for the protection of the ecological reserve or its natural resources."
"Ecological Reserve Act","Provincial","5.1","Permits for scientific research and educational purposes","regulation","minister","discretionary","(7) Subject to the regulations, the minister may delegate to any person or class of persons any of the minister's powers, duties and functions under this section."
"Ecological Reserve Act","Provincial","6.1","Designation and delegation by minister","designation; appointment","minister; director","discretionary","6.1  (1) The minister may designate as a director a person appointed under the Public Service Act."
"Ecological Reserve Act","Provincial","6.1","Designation and delegation by minister","designation","minister; director","discretionary","(2) The minister may delegate to a director designated under subsection (1) any of the minister's powers or duties under sections 6.2 to 6.4."
"Ecological Reserve Act","Provincial","6.4","Recovery of administrative penalties","certificate; requirement","minister","discretionary","(2) If a person fails to pay an administrative penalty as required under section 6.2, the minister may file a certificate in a court that has jurisdiction and, on filing, the certificate has the same force and effect, and all proceedings may be taken on it, as if it were a judgment of the court with which it is filed."
"Ecological Reserve Act","Provincial","9","Advisers","reserve; appointment","minister","discretionary","9  (1) The minister may appoint a person or persons to advise the minister on any matter relating to the establishment and administration of ecological reserves."
"Emergency And Disaster Management Act","Provincial","108","Consultation and coordination before evacuation and re-entry","notice","authority","mandatory","(b) in the case of subsection (2) (b), the local authority must, as soon as reasonably practicable after taking the action referred to in subsection (1) (a), give notice to the other local authority in whose jurisdiction the area referred to in subsection (1) (b) is located of the details of the action taken and, if applicable, of any arrangements the local authority made or intends to make under section 107 (1) (c) with respect to evacuated persons."
"Emergency And Disaster Management Act","Provincial","11","Provincial emergency management organization","appointment","minister; deputy_minister","mandatory","(2) A deputy minister responsible for the provincial emergency management organization must be appointed under the Public Service Act."
"Emergency And Disaster Management Act","Provincial","11","Provincial emergency management organization","designation; appointment","minister","mandatory","(3) The minister must designate, as the provincial administrator, a person appointed under the Public Service Act."
"Emergency And Disaster Management Act","Provincial","11","Provincial emergency management organization","appointment","minister; deputy_minister","mandatory","(4) The deputy minister referred to in subsection (2) must, in accordance with the Public Service Act, appoint officers and employees that the deputy minister considers necessary to assist the minister and the provincial administrator to exercise powers and perform duties under this Act."
"Emergency And Disaster Management Act","Provincial","127","If claim for compensation made","designation","authority","mandatory","(4) If an offer was made under subsection (1) (b) (i) and the amount offered was refused within the time stated in the offer, the government, local authority or participating authority must designate an adjuster no later than 60 days after the date on which the offer was refused."
"Emergency And Disaster Management Act","Provincial","138","Recovering amounts paid","order; requirement","minister","discretionary","138  (1) Subject to subsection (2), the minister may, by order, require a person who received an amount under this Division as financial assistance to repay all or part of the amount to the government if any of the following circumstances apply:"
"Emergency And Disaster Management Act","Provincial","138","Recovering amounts paid","regulation; certificate","minister","discretionary","(b) the minister may, in accordance with the regulations, file a certificate in the prescribed form with a court that has jurisdiction, and"
"Emergency And Disaster Management Act","Provincial","149","Amount under order is debt due","regulation; certificate","minister","discretionary","(b) the minister may, in accordance with the regulations, file a certificate in the prescribed form with a court that has jurisdiction, and"
"Emergency And Disaster Management Act","Provincial","179","Transition - mitigation and preparation requirements","plan; agreement","authority","mandatory","(7) Without limiting section 55 (1) (e) [consultation and cooperation with Indigenous peoples] of this Act, a local authority must, as soon as practicable after the date this section comes into force, make reasonable efforts to reach agreement respecting areas to be described in the local authority's emergency management plan for the purposes of section 120 [consultation, engagement and cooperation with Indigenous peoples] of this Act with each Indigenous governing body that acts on behalf of Indigenous peoples whose traditional territory or treaty area includes an area that is within the jurisdiction of the local authority."
"Emergency And Disaster Management Act","Provincial","23","Local authority may enter into agreements","agreement","authority","discretionary","23  (1) Subject to this section, a local authority may enter into agreements, including with the government of Canada or of another jurisdiction of Canada or with persons located outside British Columbia, for any of the following purposes:"
"Emergency And Disaster Management Act","Provincial","25","Making emergency measures agreements","agreement","authority","mandatory","(4) An emergency measures agreement must include as a party to the agreement each local authority having jurisdiction over an area, other than Crown land or prescribed land, that is subject to the agreement."
"Emergency And Disaster Management Act","Provincial","37","Decision-making agreements and statutory power agreements","order_in_council; agreement; empowerment","governor_in_council; minister; council","discretionary","(2) For the purposes of this Act, the Lieutenant Governor in Council may authorize the minister, on behalf of the government, to negotiate and enter into a statutory power agreement with an Indigenous governing body."
"Emergency And Disaster Management Act","Provincial","43","Government continuity plans","plan","council","mandatory","(2) The Executive Council must prepare and maintain a plan to ensure the continued delivery, during an emergency, of leadership and services necessary for the effective functioning of the Executive Council."
"Emergency And Disaster Management Act","Provincial","45","Emergency management planning by non-lead ministers","regulation; plan; review","minister","mandatory","(2) A government minister that is not a lead minister must review and revise, in accordance with the regulations, the government minister's business continuity plan."
"Emergency And Disaster Management Act","Provincial","56","Directed mitigation and preparation measures","order; requirement","minister","discretionary","(2) The minister may, by order, require a regulated entity, other than a government minister, the Nisg_a'a Nation or a treaty first nation, to provide to the provincial administrator or a lead minister one or more of the following:"
"Emergency And Disaster Management Act","Provincial","56","Directed mitigation and preparation measures","order; requirement","minister","discretionary","(3) The minister may, by order, require a regulated entity, other than a government minister, the Nisg_a'a Nation or a treaty first nation, to do one or more of the following:"
"Emergency And Disaster Management Act","Provincial","6","Committees","appointment","minister; committee","discretionary","(2) The minister may appoint members to a committee."
"Emergency And Disaster Management Act","Provincial","8","Minister may enter into agreements","agreement","minister","discretionary","8  The minister may enter into agreements, including with the government of Canada or of another jurisdiction of Canada or with persons located outside British Columbia, for any of the following purposes:"
"Energy Resource Activities Act","Provincial","10","Minister may order independent audit","order","minister","discretionary","(2) The minister responsible for the Wildlife Act may order an independent audit of the performance of the regulator in fulfilling its purposes or exercising its powers and performing its functions and duties under this Act in relation to the protection and effective management of the environment."
"Energy Resource Activities Act","Provincial","102","Collector of levy","regulation; order_in_council; designation","governor_in_council; council","discretionary","102  The Lieutenant Governor in Council may make regulations designating the regulator or an employee of the government as the collector of the levy referred to in section 47 or 110 for payment under section 18 to the regulator and providing for its collection."
"Energy Resource Activities Act","Provincial","103","Environmental protection and management","regulation; order_in_council; permit","governor_in_council; council","mandatory; discretionary","103  (1) For the purposes of environmental protection and management, the Lieutenant Governor in Council may make regulations respecting actions that a permit holder and a person carrying out an energy resource activity or an off-site environmental mitigation activity must take or refrain from taking to protect or effectively manage the environment."
"Energy Resource Activities Act","Provincial","103","Environmental protection and management","regulation; order_in_council; permit","governor_in_council; council","mandatory; discretionary","(2) Without limiting subsection (1), the Lieutenant Governor in Council may make regulations respecting actions that a permit holder and a person carrying out an energy resource activity or an off-site environmental mitigation activity must take or refrain from taking with respect to any of the following:"
"Energy Resource Activities Act","Provincial","103","Environmental protection and management","regulation; order_in_council","governor_in_council; council","discretionary","(4) The Lieutenant Governor in Council may make regulations prescribing objectives for the purposes of the definition of ""government's environmental objectives"" in section 1."
"Energy Resource Activities Act","Provincial","104","Authorizations respecting environmental protection and management","regulation; order_in_council","governor_in_council; minister; council","discretionary","(2) The Lieutenant Governor in Council may make regulations authorizing the minister responsible for administering the Water Sustainability Act"
"Energy Resource Activities Act","Provincial","104","Authorizations respecting environmental protection and management","regulation; order_in_council; establishment","governor_in_council; minister; council","discretionary","(4) The Lieutenant Governor in Council may make regulations authorizing the minister responsible for administering the Forest and Range Practices Act to establish, for the purposes of section 103 (2) (f) and (3) (d), lakeshore management zones."
"Energy Resource Activities Act","Provincial","11","Advisory committee","report; establishment; appointment","board; committee","discretionary","11  (1) The board may establish and appoint an advisory committee to consider or inquire into any matter and to report its findings and provide its advice to the board."
"Energy Resource Activities Act","Provincial","11","Advisory committee","appointment","minister; committee","discretionary","(2) The regulator may pay to a person appointed as a member of an advisory committee remuneration and expense allowances at rates set by the minister."
"Energy Resource Activities Act","Provincial","111","Energy resource activities","regulation","board","discretionary","111  (1) The board may make regulations respecting the carrying out of an energy resource activity, including, without limiting this, regulations as follows:"
"Energy Resource Activities Act","Provincial","114","Transition - appeal tribunal","order_in_council; appointment","governor_in_council; council","discretionary","114  The Lieutenant Governor in Council, when appointing the first appeal tribunal, may appoint to the appeal tribunal, without a merit-based process, a person who, at the time of the appointment, is"
"Energy Resource Activities Act","Provincial","15","Audit","report; appointment","minister; board; council","mandatory","15  Unless the Auditor General is appointed in accordance with the Auditor General Act as the auditor of the regulator, an auditor appointed by the regulator must, at least once for each fiscal year, audit and report on the accounts of the regulator to the Executive Council through the minister and to the board, and the costs of the audit must be paid by the regulator."
"Energy Resource Activities Act","Provincial","2","British Columbia Energy Regulator","appointment","director","discretionary","(5) An individual may be appointed as a director for a term of no more than 5 years and may be reappointed."
"Energy Resource Activities Act","Provincial","2","British Columbia Energy Regulator","order; appointment","minister; director","discretionary","(9) If a director dies or is unable to act or if a director's position is otherwise vacant, the minister, by order, may appoint an acting director for a period not longer than 6 months."
"Energy Resource Activities Act","Provincial","36","Environmental protection and management","regulation; permit; establishment","authority","mandatory","36  (1) A permit holder and a person carrying out an energy resource activity or an off-site environmental mitigation activity must comply with environmental measures established under the authority of a regulation made under section 104."
"Energy Resource Activities Act","Provincial","47","Orphan site restoration levy","regulation","board","discretionary","47  (1) Subject to this section, the board, for the purposes of raising revenue for the fund, may make regulations as follows:"
"Energy Resource Activities Act","Provincial","6.1","Commissioner","order_in_council; appointment","governor_in_council; commissioner; chief; council; officer","discretionary","6.1  (1) The Lieutenant Governor in Council may appoint an individual, to be known as the commissioner, as the chief executive officer of the regulator."
"Energy Resource Activities Act","Provincial","6.1","Commissioner","order; appointment","minister; commissioner","discretionary","(2) If the commissioner dies or is unable to act or if the commissioner's position is otherwise vacant, the minister, by order, may appoint an individual to be the acting commissioner for a period not longer than 6 months."
"Energy Resource Activities Act","Provincial","6.1","Commissioner","appointment","commissioner; board","discretionary","(3) The board may appoint a deputy commissioner."
"Energy Resource Activities Act","Provincial","9","Application of section 8 to pipelines under jurisdiction of Canada","regulation; order_in_council; approval","governor_in_council; council","discretionary","(3) Despite subsection (2), the Lieutenant Governor in Council may, by regulation, extend the regulator's powers under section 8 to include the power to issue an approval under one or more specified enactments with respect to a pipeline referred to in subsection (2)."
"Energy Resource Activities Act","Provincial","93.1","Certificate of debts due","certificate","commissioner","discretionary","93.1  (1) If a person fails to pay an amount owing to the regulator under this Act, other than section 18, the commissioner may issue, and file with a court having jurisdiction, a certificate specifying the amount owed and the name of the person who owes it."
"Energy Resource Activities Act","Provincial","93.1","Certificate of debts due","certificate","minister","discretionary","(2) If a person fails to pay an amount owing to the government under this Act, the minister may issue, and file with a court having jurisdiction, a certificate specifying the amount owed and the name of the person who owes it."
"Environment And Land Use Act","Provincial","7","Orders of Lieutenant Governor in Council","regulation; order; order_in_council","governor_in_council; council; committee","discretionary","7  (1) On the recommendation of the committee, and despite any other Act or regulation, the Lieutenant Governor in Council may make orders the Lieutenant Governor in Council considers necessary or advisable respecting the environment or land use."
"Environmental Assessment Act","Provincial","19","Process planning by chief executive assessment officer","policy; assessment","chief; agency; officer","mandatory","(6) The assessment of the potential effects of a reviewable project must take into account and reflect government policy identified for the chief executive assessment officer, during the course of the assessment, by a government agency or organization responsible for the identified policy area."
"Environmental Assessment Act","Provincial","22","Community advisory committee","appointment","committee","discretionary","(2) An individual appointed to a community advisory committee under subsection (1) may be paid reasonable and necessary travelling and out-of-pocket expenses incurred by the person in carrying out duties of the committee."
"Environmental Assessment Act","Provincial","24","Process planning by minister","assessment; appointment","minister; commission","discretionary","(i)  by a commission that the minister may constitute for the purpose of the assessment, consisting of one or more individuals that the minister may appoint to the commission,"
"Environmental Assessment Act","Provincial","24","Process planning by minister","appointment","minister","discretionary","(ii)  by a hearing panel, with a public hearing to be held by one or more individuals that the minister may appoint to the hearing panel, or"
"Environmental Assessment Act","Provincial","24","Process planning by minister","order; assessment; appointment","minister; chief; officer","discretionary","(iii)  by the chief executive assessment officer, an Indigenous nation or an individual that the minister may appoint by any method or procedure that the minister considers appropriate and specifies in the order, and"
"Environmental Assessment Act","Provincial","26","Advice from consultants, mediators and experts during assessment","assessment; appointment","minister; chief; officer","discretionary","26  (1) The chief executive assessment officer and, subject to any restrictions imposed by the minister, an assessment body appointed under section 24 (3) (a) may retain consultants, mediators and experts and set their remuneration and the terms of their retainers."
"Environmental Assessment Act","Provincial","27","Application for environmental assessment certificate","certificate; assessment; requirement","chief; officer","discretionary","27  (1) The proponent of a reviewable project for which an environmental assessment certificate is required may apply for an environmental assessment certificate in writing to the chief executive assessment officer."
"Environmental Assessment Act","Provincial","27","Application for environmental assessment certificate","assessment","chief; officer","mandatory","(2) Within 180 days of receiving an application under subsection (1), the chief executive assessment officer must"
"Environmental Assessment Act","Provincial","27","Application for environmental assessment certificate","assessment; review","chief; officer","discretionary","(4) The chief executive assessment officer may accept a revised application for review only if the chief executive assessment officer is satisfied that the revised application"
"Environmental Assessment Act","Provincial","27","Application for environmental assessment certificate","assessment","chief; officer","mandatory","(5) Before deciding whether to accept a revised application under subsection (4), the chief executive assessment officer must seek to achieve, with respect to the sufficiency of the application under subsection (4), consensus with participating Indigenous nations."
"Environmental Assessment Act","Provincial","27","Application for environmental assessment certificate","certificate; assessment","minister","discretionary","(6) The proponent of a reviewable project for which the minister has made a determination under section 24 may apply for an environmental assessment certificate in the manner determined by the minister."
"Environmental Assessment Act","Provincial","29","Decision on application for environmental assessment certificate","certificate; assessment","chief; officer","mandatory","29  (1) Subject to subsection (2), on completion of the requirements set out in section 28 (2) (c), the chief executive assessment officer or assessment body, as applicable, must refer the proponent's revised application for an environmental assessment certificate to the ministers for a decision under subsection (4) of this section."
"Environmental Assessment Act","Provincial","29","Decision on application for environmental assessment certificate","assessment","chief; officer","mandatory","(3) Before making a recommendation for the purposes of subsection (2) (b) (i), the chief executive assessment officer must seek to achieve, with respect to the recommendation, consensus with participating Indigenous nations."
"Environmental Assessment Act","Provincial","29","Decision on application for environmental assessment certificate","assessment","chief; officer","mandatory","(8) The chief executive assessment officer must, at the request of the ministers, assist the ministers with the exercising of their powers and the carrying out of their duties under this section."
"Environmental Assessment Act","Provincial","3","Appointment of chief executive assessment officer","order_in_council; assessment; appointment","governor_in_council; chief; council; officer","discretionary","3  (1) The Lieutenant Governor in Council may appoint an individual to be the chief executive assessment officer."
"Environmental Assessment Act","Provincial","30","Mitigation effectiveness reports","certificate; report; assessment","chief; officer","mandatory","30  The holder of an environmental assessment certificate must, in accordance with the direction of the chief executive assessment officer, report to the chief executive assessment officer respecting the effectiveness of mitigation measures specified in the certificate."
"Environmental Assessment Act","Provincial","31","Duration and effect of certificate","certificate; assessment","minister","mandatory","31  (1) An environmental assessment certificate must specify a deadline, not more than 10 years after the issue date of the certificate, by which deadline the holder of the certificate, in the reasonable opinion of the minister, must have substantially started the project."
"Environmental Assessment Act","Provincial","31","Duration and effect of certificate","certificate; assessment","chief; officer","discretionary","(2) The holder of an environmental assessment certificate may apply in writing to the chief executive assessment officer for an extension of the deadline specified in the environmental assessment certificate, providing reasons for why the holder wishes an extension of the deadline."
"Environmental Assessment Act","Provincial","31","Duration and effect of certificate","order; certificate","minister","discretionary","(b) the minister may issue an order to the former certificate holder respecting decommissioning of the project and reclamation activities."
"Environmental Assessment Act","Provincial","32","Amending environmental assessment certificate","order; certificate; exemption; assessment","chief; officer","discretionary","32  (1) The holder of an environmental assessment certificate or exemption order may apply in writing to the chief executive assessment officer to amend the certificate or order, providing the holder's reasons for the application."
"Environmental Assessment Act","Provincial","32","Amending environmental assessment certificate","assessment","chief; officer","mandatory","(2) The chief executive assessment officer must consider an application under subsection (1) and the reasons provided, in accordance with any procedures determined by the chief executive assessment officer for the assessment of the proposed change, including any time limits."
"Environmental Assessment Act","Provincial","32","Amending environmental assessment certificate","assessment","minister; chief; officer","mandatory","(3) After considering the application under subsection (1), the chief executive assessment officer, or the minister if the chief executive assessment officer refers the application to the minister, must"
"Environmental Assessment Act","Provincial","32","Amending environmental assessment certificate","certificate; notice; assessment","chief; officer","mandatory","(4) The chief executive assessment officer must provide notice of a decision under subsection (3) to the holder of the environmental assessment certificate."
"Environmental Assessment Act","Provincial","32","Amending environmental assessment certificate","order; certificate; exemption; assessment","chief; officer","discretionary","(5) The chief executive assessment officer may, without application under subsection (1), amend an environmental assessment certificate or exemption order as described in subsection (3) (a) if"
"Environmental Assessment Act","Provincial","32","Amending environmental assessment certificate","assessment","chief; officer","mandatory","(7) Before making a decision under subsection (3), (5) (b), (5) (c) or (5) (d) with respect to a project, the chief executive assessment officer must seek to achieve, with respect to the amendment, consensus with participating Indigenous nations."
"Environmental Assessment Act","Provincial","32","Amending environmental assessment certificate","assessment","chief; board; agency; officer","mandatory","(8) Before making a decision under subsection (5) (a) with respect to a project, the chief executive assessment officer must be satisfied that the applicable of the person, board, tribunal or agency referred to in that subsection sought to achieve, with respect to the amendment, consensus with participating Indigenous nations."
"Environmental Assessment Act","Provincial","33","Transfer of certificate or exemption","order; certificate; exemption; assessment","chief; officer","discretionary","33  (1) On application by the holder of an environmental assessment certificate or exemption order, the chief executive assessment officer may transfer the certificate or order to another person on any conditions the chief executive assessment officer considers appropriate."
"Environmental Assessment Act","Provincial","36","Policy direction from ministers during assessment","policy; certificate; assessment; review","minister; chief; officer","discretionary","36  (1) If an application for an environmental assessment certificate is considered under section 27, or an application to amend an environmental assessment certificate is reviewed under section 32, the chief executive assessment officer, either before or during the consideration or review, may refer a policy matter to the minister responsible or ministers responsible for the policy area for clarification and direction."
"Environmental Assessment Act","Provincial","37","Approvals under other enactments","order; approval; certificate; assessment","board; authority; agency","discretionary","(b) if approval is recommended, and the ministers issue an environmental assessment certificate, may order the person, board, tribunal or agency that has the authority to issue the approvals under other enactments to issue them"
"Environmental Assessment Act","Provincial","4","Delegation by chief executive assessment officer","assessment","chief; authority; officer","discretionary","4  (1) The chief executive assessment officer, by conditional or unconditional written authority, may delegate any of the powers and duties of the chief executive assessment officer under this Act to any person"
"Environmental Assessment Act","Provincial","43","Agreements with Nisg_a'a Nation","agreement; assessment","minister","discretionary","43  The minister may enter into agreements for the purposes set out in paragraph 1 of chapter 10 [Environmental Assessment and Protection] of the Nisg_a'a Final Agreement."
"Environmental Assessment Act","Provincial","44","Agreements and consultations with treaty first nations","agreement; requirement","minister","discretionary","44  (1) If a final agreement requires the government to negotiate with a treaty first nation and attempt to reach agreement on harmonizing the government's and treaty first nation's procedures in relation to evaluating proposed developments on the treaty lands of the treaty first nation, the minister, on behalf of the government, may enter into an agreement reached in the negotiation."
"Environmental Assessment Act","Provincial","45","Suspension of assessment process pending other inquiries","order; certificate; assessment","minister","discretionary","45  (1) At any time before a decision is made under section 29 (4) about the proponent's revised application for an environmental assessment certificate or before a decision is made under section 32 (3) about the proponent's application to amend an environmental assessment certificate, the minister may, by order, suspend a process under this Act until the outcome is reached of any investigation, inquiry, hearing, assessment under section 35 or 73 or other process that"
"Environmental Assessment Act","Provincial","47","Assessment costs may be recovered","order; certificate; assessment","minister; chief; officer","discretionary","47  (1) The minister or chief executive assessment officer may order the proponent of a reviewable project or the holder of an environmental assessment certificate to pay prescribed fees or prescribed charges for all or part of the costs that are or were incurred by or on behalf of an assessment body in carrying out an assessment of the reviewable project under this Act or in administering this Act."
"Environmental Assessment Act","Provincial","47","Assessment costs may be recovered","certificate; assessment; requirement","chief; officer","discretionary","(2) The chief executive assessment officer may require the proponent of a reviewable project or the holder of an environmental assessment certificate to provide security, in the amount and form, and subject to the conditions, specified by the chief executive assessment officer, against the non-payment of fees or charges under this Act."
"Environmental Assessment Act","Provincial","47","Assessment costs may be recovered","certificate; notice; assessment; requirement","chief; officer","discretionary","(3) If the proponent of a reviewable project or the holder of an environmental assessment certificate fails to pay a fee or charge required to be paid under this Act, the chief executive assessment officer, after providing notice to the proponent or holder to remedy the failure, may apply all or part of the security toward payment of the fee or charge."
"Environmental Assessment Act","Provincial","49","Inspection power","assessment; appointment","chief; officer","discretionary","49  (1) The chief executive assessment officer may appoint individuals, by name or by title, as compliance and enforcement officers."
"Environmental Assessment Act","Provincial","49","Inspection power","assessment; appointment","chief; officer","discretionary","(2) In making appointments under subsection (1), the chief executive assessment officer may restrict the powers of the individuals appointed to a subset of powers set out in this Act."
"Environmental Assessment Act","Provincial","5","Dispute resolution facilitators","regulation; appointment","minister","discretionary","5  (1) Subject to regulations made under subsection (4) (a), the minister, after considering a recommendation, if any, of an Indigenous nation, may appoint individuals to facilitate the resolution of disputes in relation to a matter referred to in subsection (2)."
"Environmental Assessment Act","Provincial","50","Compliance and enforcement agreements","agreement; assessment","chief; officer","discretionary","(2) In addition to the power referred to in section 4, the chief executive assessment officer may, in an agreement under subsection (1), delegate a power referred to in that section."
"Environmental Assessment Act","Provincial","53","Order to cease or remedy","order; certificate; exemption; assessment","chief; officer","discretionary","53  (1) If the chief executive assessment officer considers that there is or is likely to be a contravention of this Act, an environmental assessment certificate or an exemption order, the chief executive assessment officer may order a person to"
"Environmental Assessment Act","Provincial","53","Order to cease or remedy","assessment","chief; officer","discretionary","(4) Costs incurred by the chief executive assessment officer under subsection (2) may be recovered as a debt due to the government."
"Environmental Assessment Act","Provincial","53","Order to cease or remedy","certificate; assessment","chief; officer","discretionary","(5) If a person fails to pay a debt referred to in subsection (4), the chief executive assessment officer may file a certificate in a court that has jurisdiction and, upon filing, the certificate has the same force and effect, and all proceedings may be taken on it, as if it were a judgment of the court with which it is filed."
"Environmental Assessment Act","Provincial","55","Compliance agreement","order; agreement; certificate; exemption; assessment","minister","discretionary","55  (1) If the minister considers it appropriate to do so, the minister may give the holder of an environmental assessment certificate or exemption order an opportunity to make a written compliance agreement with the minister, by which the holder undertakes to comply with the environmental assessment certificate or exemption order within the time and on the terms specified in the agreement."
"Environmental Assessment Act","Provincial","55","Compliance agreement","order; agreement; certificate; exemption; assessment","minister","discretionary","(2) Despite a written compliance agreement, the minister may make an order referred to in section 53 in respect of the holder of an environmental assessment certificate or exemption order or another person that is the subject of an order under section 53"
"Environmental Assessment Act","Provincial","56","Suspension, cancellation and amendment of certificates and exemption orders","order; certificate; exemption; assessment","chief; officer","discretionary","(4) The chief executive assessment officer, on request by a holder of an environmental assessment certificate or exemption order, may, by order, cancel the environmental assessment certificate or rescind the order."
"Environmental Assessment Act","Provincial","62","Recovery of administrative penalties","certificate; assessment; requirement","chief; officer","discretionary","(2) If a person fails to pay an administrative penalty as required under section 60, the chief executive assessment officer may file a certificate in a court that has jurisdiction and, upon filing, the certificate has the same force and effect, and all proceedings may be taken on it, as if it were a judgment of the court with which it is filed."
"Environmental Assessment Act","Provincial","66","Creative sentencing","order","minister","discretionary","(3) If an order under this section directs a person to pay an amount of money as compensation or for any other purpose, or if the minister incurs publication costs under subsection (2), the amounts and any interest payable on those amounts constitute a debt due to the government and may be recovered as such in any court of competent jurisdiction."
"Environmental Assessment Act","Provincial","72","Ministerial delegation","requirement","minister","discretionary","72  The minister may delegate in writing to any employee of the office any power or duty conferred or imposed on the minister under this Act."
"Environmental Assessment Act","Provincial","74","Audits","order; certificate; exemption; assessment","chief; officer","discretionary","74  (1) The chief executive assessment officer may order an independent audit of the carrying out of a reviewable project that has been issued an environmental assessment certificate or exemption order."
"Environmental Assessment Act","Provincial","8","Effect on approvals under other enactments","approval","minister","mandatory","8  (1) Despite any other enactment, a minister who administers another enactment, or an employee or agent of the government or of a municipality or regional district, must not issue an approval under another enactment for a person to"
"Environmental Management Act","Provincial","106","Conservation Officer Service","designation","chief; officer","discretionary","(b) the chief conservation officer, or a member of the Conservation Officer Service designated by the chief conservation officer for the purpose, may do all the following:"
"Environmental Management Act","Provincial","106","Conservation Officer Service","empowerment","officer","discretionary","(c) have the immunities, and are authorized to exercise the powers and perform the duties, of a peace officer exclusively for the purpose of"
"Environmental Management Act","Provincial","107.02","Search warrant","designation","officer","discretionary","107.02  (1) On information on oath that there are reasonable grounds to believe that an offence under a designated enactment has occurred or is occurring, a justice, on being satisfied that an entry and a search are likely to provide evidence of such an offence, may issue a warrant authorizing a conservation officer"
"Environmental Management Act","Provincial","107.04","Inspection of records and warrant to seize records","designation; requirement","officer","mandatory","107.04  (1) A person required by a designated enactment to keep records must submit the records to a conservation officer for inspection on request."
"Environmental Management Act","Provincial","107.04","Inspection of records and warrant to seize records","requirement","officer","discretionary","(2) If a person refuses to submit records for inspection as required under this section, a justice, on being satisfied that an inspection of the records is necessary for the administration of the enactment that requires them to be kept, may issue a warrant authorizing a conservation officer to enter property specified in the warrant and to seize the records."
"Environmental Management Act","Provincial","111","Inspection of vehicles","regulation; order; plan; permit; licence; approval","officer","discretionary","(2) For the purposes of ensuring compliance with this Act or the regulations, including with a permit, licence, order, waste management plan or approval, if an officer has reasonable grounds for believing that a vehicle is being used for the transportation or handling of waste, the officer may, at any reasonable time,"
"Environmental Management Act","Provincial","111","Inspection of vehicles","establishment; requirement","officer","discretionary","(3) If, as a result of an inspection or a test carried out under this section, it appears to the officer that the vehicle is transporting hazardous waste in a manner that creates a risk of harm to the public or the environment, the officer may require the driver to drive the vehicle to a place the officer specifies and the officer may do one or more of the following:"
"Environmental Management Act","Provincial","113","Inquiries","guideline; appointment","minister","mandatory","(2) A person appointed under subsection (1) must conduct the inquiry in accordance with terms of reference and any procedural guidelines specified by the minister for the inquiry."
