cu_index,cu_species,cu_name,cu_area,cu_type,du_number,du_name,du_acronym,smu_area,smu_name,smu_id,smu_species,COSEWIC_threat_category,iucn_l2,rpa_threat_ranking,ranking_id
CK-10,Chinook,MIDDLE FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,9,"Middle Fraser, Stream, Spring ",MFR+GStr/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Agriculture & aquaculture (Hatchery competition),2.4 Marine & Freshwater Aquaculture,Low,1
CK-10,Chinook,MIDDLE FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,9,"Middle Fraser, Stream, Spring ",MFR+GStr/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Human intrusions & disturbance,6.3 Other Human Disturbances,Low,1
CK-10,Chinook,MIDDLE FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,9,"Middle Fraser, Stream, Spring ",MFR+GStr/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Invasive & other problematic species & genes,8.1 Invasive Non-Native / Alien Species,Low,1
CK-10,Chinook,MIDDLE FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,9,"Middle Fraser, Stream, Spring ",MFR+GStr/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Invasive & other problematic species & genes,8.3 Introduced Genetic Material,Low,1
CK-11,Chinook,MIDDLE FRASER RIVER_SU_1.3,FRASER INTERIOR,Current,10,"Middle Fraser,Stream, Summer",MFR+GStr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Agriculture & aquaculture (Hatchery competition),2.4 Marine & Freshwater Aquaculture,Low,1
CK-11,Chinook,MIDDLE FRASER RIVER_SU_1.3,FRASER INTERIOR,Current,10,"Middle Fraser,Stream, Summer",MFR+GStr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Energy production & mining,3.1 Oil & Gas Exploration & Extraction,Low,1
CK-11,Chinook,MIDDLE FRASER RIVER_SU_1.3,FRASER INTERIOR,Current,10,"Middle Fraser,Stream, Summer",MFR+GStr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Invasive & other problematic species & genes,8.1 Invasive Non-Native / Alien Species,Low,1
CK-11,Chinook,MIDDLE FRASER RIVER_SU_1.3,FRASER INTERIOR,Current,10,"Middle Fraser,Stream, Summer",MFR+GStr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Energy production & mining,3.2 Mining & Quarrying,Low,1
CK-11,Chinook,MIDDLE FRASER RIVER_SU_1.3,FRASER INTERIOR,Current,10,"Middle Fraser,Stream, Summer",MFR+GStr/Stream/Summer,FRASER INTERIOR,FRASER SUMMER RUN 52 CHINOOK SALMON,CK-FIA-05,Chinook,Invasive & other problematic species & genes,8.3 Introduced Genetic Material,Low,1
CK-12,Chinook,UPPER FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,11,"Upper Fraser, Stream, Spring",UFR/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Agriculture & aquaculture (Hatchery competition),2.4 Marine & Freshwater Aquaculture,Low,1
CK-12,Chinook,UPPER FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,11,"Upper Fraser, Stream, Spring",UFR/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Energy production & mining,3.1 Oil & Gas Exploration & Extraction,Low,1
CK-12,Chinook,UPPER FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,11,"Upper Fraser, Stream, Spring",UFR/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Human intrusions & disturbance,6.3 Other Human Disturbances,Low,1
CK-12,Chinook,UPPER FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,11,"Upper Fraser, Stream, Spring",UFR/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Invasive & other problematic species & genes,8.1 Invasive Non-Native / Alien Species,Low,1
CK-12,Chinook,UPPER FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,11,"Upper Fraser, Stream, Spring",UFR/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Energy production & mining,3.2 Mining & Quarrying,Low,1
CK-12,Chinook,UPPER FRASER RIVER_SP_1.3,FRASER INTERIOR,Current,11,"Upper Fraser, Stream, Spring",UFR/Stream/Spring,FRASER INTERIOR,FRASER SPRING RUN 52 CHINOOK SALMON,CK-FIA-08,Chinook,Invasive & other problematic species & genes,8.3 Introduced Genetic Material,Low,1
CK-16,Chinook,SOUTH THOMPSON-BESSETTE CREEK_SU_1.2,FRASER INTERIOR,Current,14,"South Thompson, Stream, Summer (Bessette)",STh+GStr/Stream/Summer/(Bessette),FRASER INTERIOR,FRASER SPRING RUN 42 CHINOOK SALMON,CK-FIA-06,Chinook,Energy production & mining,3.1 Oil & Gas Exploration & Extraction,Low,1
