paragraph_id,legislation_id,section,heading,paragraph
27507,64,2,SCHEDULE 8(Subsection 18(3))Information to Be Included in the Written Report of Environmental Emergency,"2 If applicable, the name of the entity or person that is responsible for the facility that is associated with the environmental emergency."
27508,64,3,SCHEDULE 8(Subsection 18(3))Information to Be Included in the Written Report of Environmental Emergency,"3 If applicable, the North American Industry Classification System codes, consisting of at least four digits, that describe the operations at the facility that is associated with the environmental emergency."
27509,64,4,SCHEDULE 8(Subsection 18(3))Information to Be Included in the Written Report of Environmental Emergency,"4 The date and time of the environmental emergency and the location where it occurred, including the latitude and longitude, expressed in decimal degrees to five decimal places, and, if applicable, the civic address of that location."
27510,64,5,SCHEDULE 8(Subsection 18(3))Information to Be Included in the Written Report of Environmental Emergency,"5 The name, CAS registry number and, if applicable, UN number of the substance that was released or likely to be released."
27511,64,6,SCHEDULE 8(Subsection 18(3))Information to Be Included in the Written Report of Environmental Emergency,"6 The quantity of the substance that was released or likely to be released or, if the quantity cannot be determined, an estimate of it."
27512,64,7,SCHEDULE 8(Subsection 18(3))Information to Be Included in the Written Report of Environmental Emergency,"7 If the substance is or was in a container system, a description of the container system, including a description of its condition."
27513,64,8,SCHEDULE 8(Subsection 18(3))Information to Be Included in the Written Report of Environmental Emergency,"8 A description of the harmful effects or potential harmful effects of the environmental emergency on the environment and on human life or health, including effects on any surrounding hospitals, schools, residential, commercial or industrial buildings, highways, public transit infrastructure, parks, forests, wildlife habitats, water sources or water bodies."
27514,64,9,SCHEDULE 8(Subsection 18(3))Information to Be Included in the Written Report of Environmental Emergency,"9 A description of the circumstances of the environmental emergency and its cause, if known, and of the measures taken to mitigate any harmful effects on the environment or on human life or health."
27515,64,10,SCHEDULE 8(Subsection 18(3))Information to Be Included in the Written Report of Environmental Emergency,10 A description of all measures taken or planned to be taken to prevent similar environmental emergencies from occurring.
27516,65,1,Definitions,1		  (1) In this Act:
27517,65,1,Definitions,"""air"" means the atmosphere but does not include the atmosphere inside"
27518,65,1,Definitions,"(a) a human made enclosure that is not open to the weather,"
27519,65,1,Definitions,"(b) an underground mine, or"
27520,65,1,Definitions,(c) a place designated by order of the Lieutenant Governor in Council;
27521,65,1,Definitions,"""air contaminant"" means a substance that is introduced into the air and that"
27522,65,1,Definitions,"(a) injures or is capable of injuring the health or safety of a person,"
27523,65,1,Definitions,"(b) injures or is capable of injuring property or any life form,"
27524,65,1,Definitions,"(c) interferes with or is capable of interfering with visibility,"
27525,65,1,Definitions,"(d) interferes with or is capable of interfering with the normal conduct of business,"
27526,65,1,Definitions,"(e) causes or is capable of causing material physical discomfort to a person, or"
27527,65,1,Definitions,(f) damages or is capable of damaging the environment;
27528,65,1,Definitions,"""appeal board"" means the Environmental Appeal Board continued under section 93 [environmental appeal board];"
27529,65,1,Definitions,"""approval"" means an approval under section 15 [approvals] or under a regulation;"
27530,65,1,Definitions,"""auxiliary conservation officer"" means a person designated as an auxiliary conservation officer under section 106 (3) [conservation officer service];"
27531,65,1,Definitions,"""biomedical waste"" has the prescribed meaning;"
27532,65,1,Definitions,"""chief conservation officer"" means the person appointed as chief conservation officer under section 106 (2) [conservation officer service];"
27533,65,1,Definitions,"""code of practice"", except in Part 3 [Municipal Waste Management], means a code of practice established by the minister under section 22 [minister's regulations - codes of practice];"
27534,65,1,Definitions,"""conservation officer"" means a person described in section 106 (2) (a) or (b) [conservation officer service] and includes, in relation to a specific power or duty, an auxiliary conservation officer and a special conservation officer who has been authorized under section 106 (3) (b) (iv) to exercise the power or perform the duty;"
27535,65,1,Definitions,"""Conservation Officer Service"" means the Conservation Officer Service established under section 106 [conservation officer service];"
27536,65,1,Definitions,"""director"" means a person employed by the government and designated in writing by the minister as a director of waste management or as an acting, deputy or assistant director of waste management;"
27537,65,1,Definitions,"""district director"" means,"
27538,65,1,Definitions,"(a) except in sections 32 [disposal of municipal solid waste in Greater Vancouver] and 33 [disposal of municipal solid waste in other regional districts], a person appointed under section 31 [control of air contaminants in Greater Vancouver] as district director by the board of the Metro Vancouver Regional District,"
27539,65,1,Definitions,"(b) for the purpose of section 32 [disposal of municipal solid waste in Greater Vancouver], a person appointed under section 32 (3) as district director by the Administration Board of the Greater Vancouver Sewerage and Drainage District, and"
27540,65,1,Definitions,"(c) for the purpose of section 33 [disposal of municipal solid waste in other regional districts], a person appointed under section 33 as district director by a regional district;"
27541,65,1,Definitions,"""effluent"" means a substance that is introduced into water or onto land and that"
27542,65,1,Definitions,"(a) injures or is capable of injuring the health or safety of a person,"
27543,65,1,Definitions,"(b) injures or is capable of injuring property or any life form,"
27544,65,1,Definitions,"(c) interferes with or is capable of interfering with visibility,"
27545,65,1,Definitions,"(d) interferes with or is capable of interfering with the normal conduct of business,"
27546,65,1,Definitions,"(e) causes or is capable of causing material physical discomfort to a person, or"
27547,65,1,Definitions,(f) damages or is capable of damaging the environment;
27548,65,1,Definitions,"""environment"" means air, land, water and all other external conditions or influences under which humans, animals and plants live or are developed;"
27549,65,1,Definitions,"""facility"" includes any land or building, and any machinery, equipment, device, tank, system or other works;"
27550,65,1,Definitions,"""greenhouse gas"" has the same meaning as in the Climate Change Accountability Act;"
27551,65,1,Definitions,"""hazardous waste"" has the prescribed meaning;"
27552,65,1,Definitions,"""introduce into the environment"", in relation to waste, includes discharge, emit, dump, abandon, spill, release and allow to escape into the environment;"
27553,65,1,Definitions,"""land"" means the solid part of the earth's surface including the foreshore and land covered by water;"
27554,65,1,Definitions,"""manager"" means a person appointed under the Public Service Act as a manager in the ministry and designated in writing by the minister as a regional manager or as an acting, assistant or deputy regional manager;"
27555,65,1,Definitions,"""municipality"", except in Part 4 [Contaminated Site Remediation], includes,"
27556,65,1,Definitions,"(a) a regional district,"
27557,65,1,Definitions,(b) an improvement district that has as an object
27558,65,1,Definitions,"(i)  the disposal of sewage or refuse, or"
27559,65,1,Definitions,"(ii)  the provision of a system for the disposal of sewage or refuse or both, and"
27560,65,1,Definitions,(c) the Greater Vancouver Sewerage and Drainage District;
27561,65,1,Definitions,"""officer"" means"
27562,65,1,Definitions,"(a) a person or class of persons employed by the government, a government corporation or a municipality and designated in writing by a director as an officer, or"
27563,65,1,Definitions,(b) a conservation officer;
27564,65,1,Definitions,"""operational certificate"" means a certificate issued under section 28 [operational certificates] for the design, operation, maintenance, performance and closure of sites or facilities used for the storage, treatment or disposal of waste or recyclable material;"
27565,65,1,Definitions,"""order"" means an order made or given under this Act;"
27566,65,1,Definitions,"""packaging"" means a material, substance or object that is"
27567,65,1,Definitions,"(a) used to protect, contain or transport a commodity or product, including a material, substance or object that is sold or distributed separately from the commodity or product that it will protect, contain or transport, or"
27568,65,1,Definitions,(b) attached to a commodity or product or its container for the purpose of marketing or communicating information about the commodity or product;
27569,65,1,Definitions,"""permit"" means a permit issued under section 14 [permits] or under the regulations;"
27570,65,1,Definitions,"""pollution"" means the presence in the environment of substances or contaminants that substantially alter or impair the usefulness of the environment;"
27571,65,1,Definitions,"""recyclable material"" means a product or substance that has been diverted from disposal, and satisfies at least one of the following criteria:"
27572,65,1,Definitions,"(a) is organic material from residential, commercial or institutional sources and is capable of being composted, or is being composted, at a site;"
27573,65,1,Definitions,(b) is managed as a marketable commodity with an established market by the owner or operator of a site;
27574,65,1,Definitions,(c) is being used in the manufacture of a new product that has an established market or is being processed as an intermediate stage of an existing manufacturing process;
27575,65,1,Definitions,(d) has been identified as a recyclable material in a waste management plan;
27576,65,1,Definitions,"(e) is any other material prescribed by the Lieutenant Governor in Council, or the minister under section 22 [minister's regulations - codes of practice];"
27577,65,1,Definitions,"""refuse"" means discarded or abandoned materials, substances or objects;"
27578,65,1,Definitions,"""regional district"", except in the definition of ""municipality"" and in sections 25, 26 and 30, includes the Northern Rockies Regional Municipality;"
27579,65,1,Definitions,"""registered mail"" includes any method of mail delivery provided by Canada Post for which confirmation of delivery to a named person is available;"
27580,65,1,Definitions,"""remediation"" means action to eliminate, limit, correct, counteract, mitigate or remove any contaminant or the adverse effects on the environment or human health of any contaminant, and includes, but is not limited to, the following:"
27581,65,1,Definitions,"(a) preliminary site investigations, detailed site investigations, analysis and interpretation, including tests, sampling, surveys, data evaluation, risk assessment and environmental impact assessment;"
27582,65,1,Definitions,(b) evaluation of alternative methods of remediation;
27583,65,1,Definitions,"(c) preparation of a remediation plan, including a plan for any consequential or associated removal of soil or soil relocation from the site;"
27584,65,1,Definitions,(d) implementation of a remediation plan;
27585,65,1,Definitions,"(e) monitoring, verification and confirmation of whether the remediation complies with the remediation plan, applicable standards and requirements imposed by a director;"
27586,65,1,Definitions,(f) other activities prescribed by the minister;
27587,65,1,Definitions,"""single-use product"" means a product that is ordinarily disposed of after a single use or short-term use, whether or not the product could be reused;"
27588,65,1,Definitions,"""special conservation officer"" means a person designated as a special conservation officer under section 106 (3) [conservation officer service];"
27589,65,1,Definitions,"""waste"" includes"
27590,65,1,Definitions,"(a) air contaminants,"
27591,65,1,Definitions,"(b) litter,"
27592,65,1,Definitions,"(c) effluent,"
27593,65,1,Definitions,"(d) refuse,"
27594,65,1,Definitions,"(e) biomedical waste,"
27595,65,1,Definitions,"(f) hazardous waste, and"
27596,65,1,Definitions,"(g) any other substance prescribed by the Lieutenant Governor in Council, or the minister under section 22 [minister's regulations - codes of practice], or, if either of them prescribes circumstances in which a substance is a waste, a substance that is present in those circumstances,"
27597,65,1,Definitions,whether or not the type of waste referred to in paragraphs (a) to (f) or prescribed under paragraph (g) has any commercial value or is capable of being used for a useful purpose;
27598,65,1,Definitions,"""waste management facility"" means a facility for the treatment, recycling, storage, disposal or destruction of a waste, or recovery of reusable resources, including energy potential from waste;"
27599,65,1,Definitions,"""waste management plan"" means a plan that contains provisions or requirements for the management of recyclable material or other waste or a class of waste within all or a part of one or more municipalities;"
27600,65,1,Definitions,"""water"" includes groundwater, as defined in section 1 (1) of the Water Sustainability Act, and ice;"
27601,65,1,Definitions,"""works"" includes"
27602,65,1,Definitions,"(a) a drain, ditch and sewer,"
27603,65,1,Definitions,"(b) a waste disposal system including a sewage treatment plant, pumping station and outfall,"
27604,65,1,Definitions,"(c) a device, equipment, land and a structure that is used to"
27605,65,1,Definitions,"(i)  measure, handle, transport, store, treat or destroy waste or a substance that is capable of causing pollution, or"
27606,65,1,Definitions,"(ii)  introduce into the environment waste or a substance that is capable of causing pollution,"
27607,65,1,Definitions,"(d) an installation, plant, machinery, equipment, land or a process that causes or may cause pollution or is designed or used to measure or control the introduction of waste into the environment or to measure or control a substance that is capable of causing pollution, or"
27608,65,1,Definitions,"(e) an installation, plant, machinery, equipment, land or a process that is used to monitor or clean up pollution or waste."
27609,65,1,Definitions,"(2) For the purposes of this Act, a detrimental environmental impact occurs when a change in the quality of air, land or water substantially reduces the usefulness of the environment or its capacity to support life."
27610,65,1,Definitions,"(3) For the purposes of the definition of ""air contaminant"" and ""effluent"", it is not necessary to prove"
27611,65,1,Definitions,"(a) that the air contaminant or effluent, if diluted at or subsequent to the point of introduction, continues to be capable of harming, injuring or damaging a person, life form, property or the environment, or"
27612,65,1,Definitions,"(b) the actual presence of a person who, or a life form that, is capable of being harmed or injured by the introduction of the air contaminant or effluent."
27613,65,1,Definitions,"(4) If a regulation under this Act authorizes the minister or a director to substitute a different requirement for any requirement in the regulations, a reference to the regulations includes a reference to the substituted requirement."
27614,65,2,Powers conferred on included officials,2		  A provision of this Act or the regulations that confers powers on an officer also confers them on a director and a manager.
27615,65,3,Director includes delegate,"3
		  (1) Subject to the limitations in section 57 [delegation of responsibilities to municipalities or other ministries], a director may delegate any of the director's powers, duties or functions under this Act, except the power to establish protocols, to any person, subject to the terms and conditions the director considers necessary or advisable."
27616,65,3,Director includes delegate,(2) In this Act a reference to the director includes a reference to a delegate of the director.
27617,65,4,Conflicts with other enactments,"4
		  If there is a conflict between this Act or its regulations or an approval, a licence, an order, a permit or an approved waste management plan under this Act and"
27618,65,4,Conflicts with other enactments,"(a) the Geothermal Resources Act or the regulations under that Act, or a permit, a licence, a lease, an authorization, an order or an agreement under that Act, or"
27619,65,4,Conflicts with other enactments,"(b) the Transport of Dangerous Goods Act or the regulations under that Act,"
27620,65,4,Conflicts with other enactments,"this Act, its regulations and an approval, a licence, an order, a permit or an approved waste management plan subsisting under this Act prevail."
27621,65,5,Minister's authority,"5		  The duties, powers and functions of the minister extend to any matter relating to the management, protection and enhancement of the environment including, but not limited to, the following matters:"
27622,65,5,Minister's authority,"(a) planning, research and investigation in relation to the environment;"
27623,65,5,Minister's authority,"(b) development of policies for the management, protection and use of the environment;"
27624,65,5,Minister's authority,"(c) planning, design, construction, operation and maintenance of works and undertakings for the management, protection or enhancement of the environment;"
27625,65,5,Minister's authority,(d) providing information to the public about the quality and use of the environment;
27626,65,5,Minister's authority,"(e) preparing and publishing policies, strategies, objectives, guidelines and standards for the protection and management of the environment;"
27627,65,5,Minister's authority,"(f) preparing and publishing environmental management plans for specific areas of British Columbia which may include, but need not be limited to, measures with respect to the following:"
27628,65,5,Minister's authority,"(i)  flood control, flood hazard management and development of land that is subject to flooding;"
27629,65,5,Minister's authority,(ii)  drainage;
27630,65,5,Minister's authority,(iii)  soil conservation;
27631,65,5,Minister's authority,(iv)  water resource management;
27632,65,5,Minister's authority,(v)  fisheries and aquatic life management;
27633,65,5,Minister's authority,(vi)  wildlife management;
27634,65,5,Minister's authority,(vii)  waste management;
27635,65,5,Minister's authority,(viii)  air management.
27636,65,6,Waste disposal,"6
		  (1) For the purposes of this section, ""the conduct of a prescribed industry, trade or business"" includes the operation by any person of facilities or vehicles for the collection, storage, treatment, handling, transportation, discharge, destruction or other disposal of waste in relation to the prescribed industry, trade or business."
27637,65,6,Waste disposal,"(2) Subject to subsection (5), a person must not introduce or cause or allow waste to be introduced into the environment in the course of conducting a prescribed industry, trade or business."
27638,65,6,Waste disposal,"(3) Subject to subsection (5), a person must not introduce or cause or allow to be introduced into the environment, waste produced by a prescribed activity or operation."
27639,65,6,Waste disposal,"(4) Subject to subsection (5), a person must not introduce waste into the environment in such a manner or quantity as to cause pollution."
27640,65,6,Waste disposal,(5) Nothing in this section or in a regulation made under subsection (2) or (3) prohibits any of the following:
27641,65,6,Waste disposal,(a) the disposition of waste in compliance with this Act and with all of the following that are required or apply in respect of the disposition:
27642,65,6,Waste disposal,(i)  a valid and subsisting permit;
27643,65,6,Waste disposal,(ii)  a valid and subsisting approval;
27644,65,6,Waste disposal,(iii)  a valid and subsisting order;
27645,65,6,Waste disposal,(iv)  a regulation;
27646,65,6,Waste disposal,(v)  a waste management plan approved by the minister;
27647,65,6,Waste disposal,"(b) the discharge into the air of an air contaminant from an incinerator operated under an authority, licence or permit of a municipality;"
27648,65,6,Waste disposal,"(c) the disposition of human remains in crematoria in compliance with the Cremation, Interment and Funeral Services Act;"
27649,65,6,Waste disposal,(d) the discharge of air contaminants authorized by a bylaw made under section 31 (3) (d) [control of air contaminants in Greater Vancouver];
27650,65,6,Waste disposal,"(e) the burning of leaves, foliage, weeds, crops or stubble for domestic or agricultural purposes or in compliance with the Weed Control Act;"
27651,65,6,Waste disposal,"(f) the use of pesticides or biocides for agricultural, domestic or forestry purposes in compliance with the Integrated Pest Management Act, the Pest Control Products Act (Canada) and any other Act and regulation governing their use;"
27652,65,6,Waste disposal,(g) fires set or controlled by a person
27653,65,6,Waste disposal,"(i)  acting under the direction of a local authority, as defined in the Fire Safety Act, if the local authority authorizes the fires for training purposes,"
27654,65,6,Waste disposal,"(ii)  carrying out fire control under section 9 of the Wildfire Act, or"
27655,65,6,Waste disposal,"(iii)  if the fires are resource management open fires under the Wildfire Act and are lit, fuelled or used in accordance with that Act and the regulations under that Act;"
27656,65,6,Waste disposal,"(h) emissions from steam powered or internal combustion engines in compliance, if applicable, with the Motor Vehicle Act and regulations;"
27657,65,6,Waste disposal,(i) emission into the air of soil particles or grit in the course of agriculture or horticulture;
27658,65,6,Waste disposal,(j) the disposal of waste by a person other than a municipality
27659,65,6,Waste disposal,"(i)  by means of a system of waste disposal lawfully operated by a municipality or other public authority, and"
27660,65,6,Waste disposal,(ii)  in compliance with the rules and regulations that apply to that system;
27661,65,6,Waste disposal,"(k) emission of an air contaminant from combustion of wood or fossil fuels used solely for the purpose of comfort heating of domestic, institutional or commercial buildings;"
27662,65,6,Waste disposal,(l) emission of an air contaminant from food preparation in
27663,65,6,Waste disposal,"(i)  residential premises, or"
27664,65,6,Waste disposal,(ii)  retail food outlets;
27665,65,6,Waste disposal,"(m) an owner, agent or manager, as those terms are defined in the Mines Act, from carrying out an activity related to mineral and coal exploration if that activity is exempted under section 10 (2.1) of that Act."
27666,65,6,Waste disposal,"(6) Nothing in subsection (5) (b) or (k) authorizes the use of an incinerator or domestic, institutional or commercial heating equipment for the purpose of destroying hazardous waste by means of combustion."
27667,65,6,Waste disposal,(7) In subsection (5) (l):
27668,65,6,Waste disposal,"""residential premises"" includes hospitals, clinics, logging camps, factory and office canteens and other similar premises;"
27669,65,6,Waste disposal,"""retail food outlets"" means"
27670,65,6,Waste disposal,"(a) restaurants, hotels, motels and similar premises, and"
27671,65,6,Waste disposal,"(b) premises in which food is prepared and sold by retail sale, such as"
27672,65,6,Waste disposal,"(i)  exclusively retail bakeries, and"
27673,65,6,Waste disposal,(ii)  premises selling take out food.
27674,65,7,Hazardous waste - confinement,"7		  (1) A person who produces, stores, transports, handles, treats, recycles, deals with, processes or owns a hazardous waste must keep the hazardous waste confined in accordance with the regulations."
27675,65,7,Hazardous waste - confinement,"(2) Except to the extent expressly authorized by a permit, an approval, an order, a waste management plan or the regulations, a person must not release a hazardous waste from the confinement required by subsection (1)."
27676,65,8,Hazardous waste management facility,"8
		  A person must not construct, establish, alter, enlarge, extend, use or operate a facility for the treatment, recycling, storage, disposal or destruction of a hazardous waste except in accordance with the regulations."
27677,65,9,Hazardous waste storage and disposal,"9
		  (1) A person must not store more than a prescribed amount of a hazardous waste except in accordance with any of the following that apply:"
27678,65,9,Hazardous waste storage and disposal,(a) the regulations in relation to storing hazardous waste;
27679,65,9,Hazardous waste storage and disposal,(b) an order that requires the person to store that kind of hazardous waste;
27680,65,9,Hazardous waste storage and disposal,(c) an approved waste management plan that provides for storage of hazardous waste.
27681,65,9,Hazardous waste storage and disposal,"(2) A person who is storing a quantity of a substance at the time that the substance is prescribed to be a hazardous waste does not contravene subsection (1) by continuing to store the same or a different quantity of that substance if the person notifies a director, in accordance with the regulations, of the location, quantity and type of substance that the person is storing."
27682,65,9,Hazardous waste storage and disposal,"(3) Despite subsection (2), a director may serve a person referred to in that subsection with a written order to comply with the regulations or the approved waste management plan, and, if a director does so, subject to subsection (4), the person must comply with the order within the period the director specifies in that order."
27683,65,9,Hazardous waste storage and disposal,"(4) If a person who is served with an order under subsection (3) does not comply with the regulations in the period specified by the director, the person must dispose of the hazardous waste as directed by a director."
27684,65,10,Transportation of hazardous waste,"10
		  (1) A person who produces or stores a hazardous waste"
27685,65,10,Transportation of hazardous waste,(a) must not cause or allow more than a prescribed quantity of the hazardous waste to be transported from the property where the person produces or stores the hazardous waste unless the person first
27686,65,10,Transportation of hazardous waste,"(i)  completes, in the form and manner prescribed, the part of a manifest that applies to the person, and"
27687,65,10,Transportation of hazardous waste,"(ii)  files the manifest in the manner prescribed,"
27688,65,10,Transportation of hazardous waste,"(b) must ensure that the person transporting more than the prescribed quantity of the hazardous waste from the place where it is produced or stored has a licence for that purpose, if a licence is required by the regulations, and"
27689,65,10,Transportation of hazardous waste,(c) must not cause or allow more than the prescribed quantity of the hazardous waste to be transported to a place unless
27690,65,10,Transportation of hazardous waste,"(i)  an order, waste management plan or regulation authorizes or requires it to be stored at that place,"
27691,65,10,Transportation of hazardous waste,"(ii)  a permit, approval, order, waste management plan or regulation authorizes or requires it to be introduced into the environment or treated at that place, or"
27692,65,10,Transportation of hazardous waste,(iii)  storage of the hazardous waste at that place is otherwise not prohibited under section 9 [hazardous waste storage and disposal].
27693,65,10,Transportation of hazardous waste,(2) A person must not transport more than a prescribed quantity of a hazardous waste unless the person
27694,65,10,Transportation of hazardous waste,(a) carries with the person
27695,65,10,Transportation of hazardous waste,"(i)  a manifest completed as required by subsection (1) and this subsection, and"
27696,65,10,Transportation of hazardous waste,"(ii)  if required by the regulations, a licence, and"
27697,65,10,Transportation of hazardous waste,"(b) has completed, in accordance with the regulations, that part of the manifest that applies to the person."
27698,65,10,Transportation of hazardous waste,(3) A person must not accept delivery of more than a prescribed quantity of a hazardous waste unless the person
27699,65,10,Transportation of hazardous waste,"(a) receives from the transporter a manifest that has been completed as required by subsections (1) and (2),"
27700,65,10,Transportation of hazardous waste,"(b) completes the part of the manifest that applies to the person and files the manifest in the form and manner prescribed, and"
27701,65,10,Transportation of hazardous waste,"(c) has a permit or an approval authorizing the person to introduce into the environment that kind and quantity of hazardous waste, is authorized under the regulations to treat or recycle that kind and quantity of hazardous waste or is not prohibited under section 9 (1) [hazardous waste storage and disposal] from storing that kind and quantity of hazardous waste."
27702,65,10,Transportation of hazardous waste,"(4) In a prosecution for a contravention of this section, the burden of proving compliance with subsection (1) (a) or (c) or with subsection (2) or (3) is on the defendant."
27703,65,11,"Packaging, product containers and single-use products","11
		  A person must not use, distribute, offer for sale or sell packaging, product containers or single-use products, or any material used in packaging, product containers or single-use products, contrary to this Act or the regulations."
27704,65,12,Littering,"12
		  (1) In this section, ""public place"" means"
27705,65,12,Littering,"(a) a place that is open to the air, including a covered place that is open to the air on at least one side, and to which the public is entitled or permitted to have access without payment, and"
27706,65,12,Littering,(b) a park or public campground.
27707,65,12,Littering,"(2) A person must not throw down, drop or otherwise deposit, and leave litter in a public place."
27708,65,12,Littering,"(3) The prohibition in subsection (2) does not apply if the depositing and leaving was authorized by law, or was done with the consent of the owner, occupier or other person or authority having the control of the public place."
27709,65,12,Littering,"(4) In a prosecution, the burden of establishing that subsection (3) applies is on the defendant."
27710,65,13,Discharge of waste from recreational vehicles,"13
		  A person must not discharge domestic sewage or waste from a trailer, camper, transportable housing unit, boat or house boat onto land, into any reservoir or into any lake, pond, stream or other natural body of water, except"
27711,65,13,Discharge of waste from recreational vehicles,"(a) in compliance with a permit, an approval, an order, a waste management plan or a regulation, or"
27712,65,13,Discharge of waste from recreational vehicles,"(b) if disposal facilities are provided, in accordance with proper and accepted methods of disposal using those facilities, and in accordance with the Public Health Act and regulations."
27713,65,14,Permits,"14		  (1) A director may issue a permit authorizing the introduction of waste into the environment subject to requirements for the protection of the environment that the director considers advisable and, without limiting that power, may do one or more of the following in the permit:"
27714,65,14,Permits,"(a) require the permittee to repair, alter, remove, improve or add to works or to construct new works and to submit plans and specifications for works specified in the permit;"
27715,65,14,Permits,(b) require the permittee to give security in the amount and form and subject to conditions the director specifies;
27716,65,14,Permits,"(c) require the permittee to monitor, in the manner specified by the director, the waste, the method of handling, treating, transporting, discharging and storing the waste and the places and things that the director considers will be affected by the discharge of the waste or the handling, treatment, transportation or storage of the waste;"
27717,65,14,Permits,(d) require the permittee to conduct studies and to report information specified by the director in the manner specified by the director;
27718,65,14,Permits,"(e) specify procedures for monitoring and analysis, and procedures or requirements respecting the handling, treatment, transportation, discharge or storage of waste that the permittee must fulfill;"
27719,65,14,Permits,"(f) require the permittee to recycle certain wastes, and to recover certain reusable resources, including energy potential from wastes."
27720,65,14,Permits,(2) A permit does not authorize the introduction of hazardous waste into the environment unless it specifies the characteristics and quantity of hazardous waste that may be introduced.
27721,65,14,Permits,"(3) Despite subsection (1), a director may not issue or, subject to subsection (4), amend, a permit authorizing the introduction of waste into the environment if the introduction is governed by"
27722,65,14,Permits,"(a) a code of practice that is established in the regulations in relation to the industry, trade or business that applies for the permit or amendment,"
27723,65,14,Permits,"(b) a code of practice that is established in the regulations in relation to the activity or operation in respect of which the permit or amendment is applied for, or"
27724,65,14,Permits,"(c) a regulation, unless the regulation requires that a permit be obtained in relation to the discharge of the industry, trade, or business, activity or operation."
27725,65,14,Permits,"(4) A director, on receipt of an application or on the director's own initiative, may amend a permit authorizing an introduction of waste described in subsection (3) (a), (b) or (c), if"
27726,65,14,Permits,"(a) in the opinion of the director, the amendment is necessary for the protection of the environment, or"
27727,65,14,Permits,(b) the amendment is for one or more or the following purposes:
27728,65,14,Permits,(i)  a change of ownership or name;
27729,65,14,Permits,(ii)  a change of address;
27730,65,14,Permits,"(iii)  a decrease in the authorized quantity of the discharge, emission or stored material;"
27731,65,14,Permits,"(iv)  an increase of not more than 10% in the authorized quantity of the discharge, emission or stored material;"
27732,65,14,Permits,"(v)  a change in the authorized quality of the discharge, emission or stored material such that, in the opinion of the director, the change has resulted in or will result in an equal or lesser impact on the environment;"
27733,65,14,Permits,(vi)  a change in a monitoring program;
27734,65,14,Permits,"(vii)  a change to the works, method of treatment or any other condition of a permit or an approval such that, in the opinion of the director, the change has resulted in or will result in an equal or lesser impact on the environment."
27735,65,15,Approvals,"15
		  (1) A director may approve the introduction of waste into the environment for a period of up to 15 months without issuing a permit."
27736,65,15,Approvals,"(2) A director may issue the director's approval subject to requirements for the protection of the environment that the director considers advisable and, without restricting that power, may include as a requirement anything referred to in section 14 (1) [permits]."
27737,65,16,Amendment of permits and approvals,"16
		  (1) A director may, subject to section 14 (3) [permits], this section and the regulations, for the protection of the environment,"
27738,65,16,Amendment of permits and approvals,"(a) on the director's own initiative if the director considers it necessary, or"
27739,65,16,Amendment of permits and approvals,"(b) on application by a holder of a permit or an approval,"
27740,65,16,Amendment of permits and approvals,amend the requirements of the permit or approval.
27741,65,16,Amendment of permits and approvals,"(2) A director may, after consultation with the minister, amend"
27742,65,16,Amendment of permits and approvals,"(a) a permit ordered by the minister under section 90.1 (1) [permits under area based management plan], or"
27743,65,16,Amendment of permits and approvals,(b) a permit or approval issued by the Lieutenant Governor in Council.
27744,65,16,Amendment of permits and approvals,"(3) If a permit or an approval is subject to conditions imposed pursuant to a decision made in an appeal to the appeal board under Division 2 [Appeals under this Act] of Part 8, those conditions must not be amended except"
27745,65,16,Amendment of permits and approvals,"(a) by the appeal board, and"
27746,65,16,Amendment of permits and approvals,(b) after the appeal board has given the parties an opportunity to be heard on the question of whether the conditions should be amended.
27747,65,16,Amendment of permits and approvals,(4) A director's power to amend a permit or an approval includes all of the following:
27748,65,16,Amendment of permits and approvals,(a) authorizing or requiring the construction of new works in addition to or instead of works previously authorized or required;
27749,65,16,Amendment of permits and approvals,"(b) authorizing or requiring the repair of, alteration to, improvement of, removal of or addition to existing works;"
27750,65,16,Amendment of permits and approvals,"(c) requiring security, altering the security required or changing the type of security required or the conditions of giving security;"
27751,65,16,Amendment of permits and approvals,(d) extending or reducing the term of or renewing the permit or approval;
27752,65,16,Amendment of permits and approvals,"(e) authorizing or requiring a change in the characteristics or components of waste discharged, treated, handled or transported;"
27753,65,16,Amendment of permits and approvals,"(f) authorizing or requiring a change in the quantity of waste discharged, treated, handled or transported;"
27754,65,16,Amendment of permits and approvals,"(g) authorizing or requiring a change in the location of the discharge, treatment, handling or transportation of the waste;"
27755,65,16,Amendment of permits and approvals,(h) altering the time specified for the construction of works or the time in which to meet other requirements imposed on the holder of the permit or approval;
27756,65,16,Amendment of permits and approvals,"(i) authorizing or requiring a change in the method of discharging, treating, handling or transporting the waste;"
27757,65,16,Amendment of permits and approvals,(j) changing or imposing any procedure or requirement that was imposed or could have been imposed under section 14 [permits] or 15 [approvals].
27758,65,16,Amendment of permits and approvals,(5) A director may renew an approval before or after the end of the term of the approval.
27759,65,16,Amendment of permits and approvals,"(6) A director may not renew an approval if the term of the approval and the term of renewal, when taken together, would exceed 15 months."
27760,65,16,Amendment of permits and approvals,"(7) If a director amends a permit or approval, the director"
27761,65,16,Amendment of permits and approvals,"(a) may require that the holder of the permit or approval supply the director with plans, specifications and other information the director requests, and"
