paragraph_id,legislation_id,section,heading,paragraph
61,2,1,Definitions,"""exclusion application"" means an application for exclusion made under section 29 (1);"
62,2,1,Definitions,"""executive committee"" means the executive committee of the commission established under section 10;"
63,2,1,Definitions,"""farm use"""
64,2,1,Definitions,(a) means an occupation or use of agricultural land for
65,2,1,Definitions,"(i)  farming land, plants, mushrooms, truffles or animals,"
66,2,1,Definitions,"(ii)  a farm operation as defined in the Farm Practices Protection (Right to Farm) Act, or"
67,2,1,Definitions,"(iii)  a purpose designated as a farm use by regulation, and"
68,2,1,Definitions,(b) does not include a residential use or a soil or fill use;
69,2,1,Definitions,"""fill"" means any material brought onto agricultural land other than materials exempted by regulation;"
70,2,1,Definitions,"""first nation government"" means,"
71,2,1,Definitions,"(a) in relation to settlement lands, other than treaty lands, the governing body that has legislative authority in relation to those settlement lands,"
72,2,1,Definitions,"(a.1) in relation to treaty lands, the treaty first nation, and"
73,2,1,Definitions,"(b) in relation to proposed settlement lands, an aboriginal governing body that"
74,2,1,Definitions,"(i)  the first nation, in relation to which an agreement in principle applying to those lands has been entered into, has organized and established within its traditional territory in British Columbia, and"
75,2,1,Definitions,"(ii)  has been mandated by the members of that first nation to enter into treaty negotiations on their behalf in accordance with a process facilitated by the British Columbia Treaty Commission, established under section 3 of the Treaty Commission Act;"
76,2,1,Definitions,"""former Act"" means the Agricultural Land Reserve Act, R.S.B.C. 1996, c. 10, or the Land Reserve Commission Act, S.B.C. 1999, c. 14;"
77,2,1,Definitions,"""law"", in relation to a first nation government described in paragraph (a) or  (a.1) of the definition of ""first nation government"", means a law enacted by the first nation government under"
78,2,1,Definitions,"(a) a treaty and land claims agreement within the meaning of sections 25 and 35 of the Constitution Act, 1982,"
79,2,1,Definitions,"(b) a governance agreement among the Province, Canada and the first nation, or"
80,2,1,Definitions,(c) an enactment of the Province or Canada;
81,2,1,Definitions,"""local government"" means"
82,2,1,Definitions,"(a) in relation to land within a municipality, the municipal council,"
83,2,1,Definitions,"(b) in relation to land within an electoral area but not within a local trust area under the Islands Trust Act, the board of the regional district, and"
84,2,1,Definitions,"(c) in relation to land within a local trust area under the Islands Trust Act, the local trust committee or the executive committee acting as a local trust committee for that area;"
