legislation_id,jurisdiction,legislation_type,act_name,legislation_name,url,agencies,current_to_date
153,Provincial,Regulations,Forest Practices Code Of British Columbia Act,Provincial Forest Use Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/176_95,,1995-04-12
90,Federal,Act,Freshwater Fish Marketing Act,Freshwater Fish Marketing Act,https://laws-lois.justice.gc.ca/eng/acts/F-13/index.html,Minister of Fisheries and Oceans,2025-05-05
93,Provincial,Act,Greenbelt Act,Greenbelt Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96176_01,"Water, Land and Resource Stewardship",2025-04-29
96,Provincial,Act,Hydro And Power Authority Act,Hydro and Power Authority Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96212_01,Energy and Climate Solutions,2025-04-29
97,Federal,Act,Impact Assessment Act,Impact Assessment Act,https://laws-lois.justice.gc.ca/eng/acts/I-2.75/index.html,Minister of the Environment,2025-05-05
130,Federal,Order,Impact Assessment Act,Order Designating Certain Excluded Classes of Projects,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2025-60/index.html,Minister of the Environment,2025-05-05
145,Federal,Regulations,Impact Assessment Act,Physical Activities Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-285/page-1.html,Minister of the Environment,2025-03-17
98,Provincial,Act,Integrated Pest Management Act,Integrated Pest Management Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/03058_01,Environment and Parks,2025-05-20
99,Provincial,Regulations,Integrated Pest Management Act,Integrated Pest Management Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/604_2004,Environment and Parks,2004-12-29
100,Federal,Regulations,International Boundary Waters Treaty Act,International Boundary Waters Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2002-445/index.html,Minister of Foreign Affairs,2025-05-05
101,Federal,Act,International Boundary Waters Treaty Act,International Boundary Waters Treaty Act,https://laws-lois.justice.gc.ca/eng/acts/I-17/index.html,Minister of Foreign Affairs,2025-05-05
102,Federal,Act,International River Improvements Act,International River Improvements Act,https://laws-lois.justice.gc.ca/eng/acts/I-20/index.html,Minister of the Environment,2025-03-17
103,Federal,Regulations,International River Improvements Act,International River Improvements Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._982/index.html",Minister of the Environment,2025-03-17
106,Provincial,Act,Land Act,Land Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96245_01,"Water, Land and Resource Stewardship",2025-04-29
107,Provincial,Regulations,Land Act,Land Use Objectives Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/357_2005,"Water, Land and Resource Stewardship",2005-12-09
108,Provincial,Act,Libby Dam Reservoir Act,Libby Dam Reservoir Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96262_01,"Water, Land and Resource Stewardship",2025-04-29
109,Federal,Act,Maanulth First Nations Final Agreement Act,Maanulth First Nations Final Agreement Act,https://laws-lois.justice.gc.ca/eng/acts/M-0.55/index.html,Minister of Indian Affairs and Northern Development,2025-05-05
117,Provincial,Act,Mines Act,Mines Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/96293_01,Mining and Critical Minerals,2025-04-29
125,Provincial,Act,Natural Resource Compliance Act,Natural Resource Compliance Act,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/11021_01,Forests,2025-04-29
126,Provincial,Regulations,Natural Resource Compliance Act,Natural Resource Officer Authority Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/38_2012,Forests,2012-03-08
