legislation_id,jurisdiction,legislation_type,act_name,legislation_name,url,agencies,current_to_date
171,Federal,Regulations,"Canadian Environmental Protection Act, 1999",Storage Tank Systems for Petroleum Products and Allied Petroleum Products Regulations,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2008-197/index.html,Minister of the Environment,2025-03-31
30,Federal,Act,Canadian Navigable Waters Act,Canadian Navigable Waters Act,https://laws-lois.justice.gc.ca/eng/acts/N-22/index.html,Minister of Transport,2025-05-05
110,Federal,Order,Canadian Navigable Waters Act,Major Works Order,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2019-320/index.html,Minister of Transport,2025-05-05
118,Federal,Order,Canadian Navigable Waters Act,Minor Works Order,https://laws-lois.justice.gc.ca/eng/regulations/SOR-2021-170/index.html,Minister of Transport,2025-05-05
127,Federal,Regulations,Canadian Navigable Waters Act,Navigable Waters Works Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._1232/index.html",Minister of Transport,2025-03-31
32,Federal,Act,Coastal Fisheries Protection Act,Coastal Fisheries Protection Act,https://laws-lois.justice.gc.ca/eng/acts/C-33/index.html,Minister of Fisheries and Oceans; North Pacific Fisheries Commission,2025-05-05
33,Federal,Regulations,Coastal Fisheries Protection Act,Coastal Fisheries Protection Regulations,"https://laws-lois.justice.gc.ca/eng/regulations/C.R.C.,_c._413/index.html",Minister of Fisheries and Oceans; North Pacific Fisheries Commission,2025-05-05
12,Provincial,Regulations,Community Charter,Approval Exemption Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/268_2005,,2005-09-07
167,Provincial,Regulations,Community Charter,Spheres of Concurrent Jurisdiction Environment and Wildlife Regulation,https://www.bclaws.gov.bc.ca/civix/document/id/complete/statreg/144_2004,,2004-03-26
41,Federal,Act,Department Of Fisheries And Oceans Act,Department of Fisheries and Oceans Act,https://laws-lois.justice.gc.ca/eng/acts/F-15/index.html,Minister of Fisheries and Oceans,2025-08-21
