paragraph_id,actionable_type,responsible_official,discretion_type
8646,regulation; order; authorization; authorization; exemption,Minister,discretionary
8649,exemption,Department; Minister,discretionary
8652,regulation; order,Minister,discretionary; mandatory
9334,regulation; bylaw,Officer; parliament,discretionary
9409,regulation,Board,discretionary
9460,standard; exemption,Minister,discretionary
10148,regulation,Minister,mandatory
10156,regulation,Minister,mandatory
10179,regulation; plan,Minister,discretionary
10181,regulation; plan,Minister,discretionary; mandatory
9508,review,commissioner; Minister,discretionary
9520,,Advisory; Minister,discretionary
9590,,Minister,discretionary
9602,,Minister; Officer,discretionary; mandatory
9702,,Minister,discretionary
9706,,Minister,discretionary
9713,regulation; order_in_council,governor; Minister,discretionary
9900,,Minister,discretionary
9955,,Minister,discretionary
9956,,Board; Minister,discretionary
8771,,Minister,discretionary
8775,,Department; Minister,mandatory
8850,regulation; order_in_council,governor; Minister,discretionary
10196,regulation; designation,Minister,discretionary
10198,designation,Minister,mandatory
8911,,Chief,discretionary
9166,authorization; authorization,Minister,discretionary
10294,order_in_council; agreement; approval,governor; Minister,discretionary
10315,order_in_council; authorization; plan; program; designation; protected_area; authorization,Agency; agency; governor; Minister,discretionary
10319,order_in_council; authorization; plan; program; designation; protected_area; authorization,Agency; agency; governor; Minister,discretionary
10320,program,Agency; agency; Minister,discretionary
10325,plan; program; protected_area,Agency; agency,mandatory
10326,protected_area; agreement,Agency; agency; Minister,discretionary
10337,plan,Agency; agency; Minister,mandatory
10338,order; plan; protected_area; agreement,Agency; agency; Minister,discretionary
10348,order_in_council; authorization; authorization,Agency; agency; governor; Minister,discretionary; mandatory
10376,regulation; order_in_council; protected_area,governor,discretionary
10406,,Advisory; Minister,discretionary
10261,order_in_council; program; agreement; approval,governor; Minister,discretionary
10273,order_in_council; program; agreement,governor; Minister,mandatory
10442,,Advisory; Minister,discretionary
10433,authorization; authorization,Agency; agency; Minister; Officer; parliament,discretionary
10482,order_in_council,governor,discretionary
10484,,Minister,discretionary
10485,,Department; Minister,discretionary
11338,order_in_council,governor,discretionary
11594,,Commission,mandatory
11660,certificate; report,Commission,mandatory
11661,order; approval; exemption,Commission,mandatory
11663,regulation; order_in_council,governor; Minister,discretionary
11847,order; permit; approval; certificate; exemption,Commission,mandatory
11849,regulation; order; order_in_council,governor; Minister,discretionary
12088,order_in_council,governor,discretionary
12389,order,Chief; Commission; Officer,mandatory
11059,report,Minister; parliament; Regulator,discretionary
11103,order; authorization; authorization,Commission,discretionary
11122,regulation; order; exemption,Commission,discretionary
12590,regulation; order; order_in_council,governor; Minister,discretionary
13242,regulation; order_in_council,governor; ministers,discretionary
13255,,Minister,mandatory
13258,,Minister,mandatory
13259,,Minister,mandatory
13261,,Minister,discretionary
13265,,Minister,discretionary
13266,notice,Minister,mandatory
13297,,Minister,discretionary
13300,order; assessment,ministers,mandatory
13301,order,ministers,mandatory
13308,,Minister; ministers,discretionary
13323,notice,Minister; ministers,discretionary
13335,,Minister,mandatory
13340,,Minister,mandatory
13341,,Minister,discretionary
13345,,Minister,discretionary
13386,regulation; order_in_council,governor; Minister,discretionary
13399,regulation,Minister,discretionary
13517,regulation; authorization; permit; authorization,Minister,discretionary
